innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Lucknow Super Giants,A Badoni,1.0,0,5,1,5.0,2,0,0
1,Lucknow Super Giants,Avesh Khan,3.0,0,20,1,6.67,9,0,0
1,Lucknow Super Giants,JO Holder,2.0,0,12,1,6.0,3,0,0
1,Lucknow Super Giants,KH Pandya,2.0,0,16,0,8.0,4,0,0
1,Lucknow Super Giants,MP Stoinis,1.0,0,15,0,15.0,2,0,0
1,Lucknow Super Giants,Mohsin Khan,4.0,0,43,0,10.75,9,1,0
1,Lucknow Super Giants,PVD Chameera,3.0,0,35,0,11.67,7,0,1
1,Lucknow Super Giants,Ravi Bishnoi,4.0,0,31,2,7.75,9,1,0
2,Rajasthan Royals,M Prasidh Krishna,4.0,0,32,2,8.0,13,2,0
2,Rajasthan Royals,OC McCoy,4.0,0,35,2,8.75,6,4,0
2,Rajasthan Royals,R Ashwin,4.0,0,24,1,6.0,7,1,0
2,Rajasthan Royals,TA Boult,4.0,0,18,2,4.5,13,0,0
2,Rajasthan Royals,YS Chahal,4.0,0,42,1,10.5,6,1,0
