innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,JC Buttler,11,3.2
1,Rajasthan Royals,2,SV Samson,75,9.5
1,Rajasthan Royals,3,YBK Jaiswal,101,12.2
1,Rajasthan Royals,4,D Padikkal,122,14.4
1,Rajasthan Royals,5,R Parag,149,18.1
1,Rajasthan Royals,6,JDS Neesham,152,18.4
2,Lucknow Super Giants,1,Q de Kock,15,3.1
2,Lucknow Super Giants,2,A Badoni,15,3.2
2,Lucknow Super Giants,3,KL Rahul,29,6.3
2,Lucknow Super Giants,4,KH Pandya,94,14.1
2,Lucknow Super Giants,5,DJ Hooda,116,16.6
2,Lucknow Super Giants,6,JO Holder,120,17.4
2,Lucknow Super Giants,7,PVD Chameera,120,17.6
2,Lucknow Super Giants,8,MP Stoinis,151,20.2
