innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Sunrisers Hyderabad,Abhishek Sharma,9,10,1,0,90.0,c M Markande b DR Sams,1
1,Sunrisers Hyderabad,PK Garg,42,26,4,2,161.54,c & b Ramandeep Singh,2
1,Sunrisers Hyderabad,RA Tripathi,76,44,9,3,172.73,c Tilak Varma b Ramandeep Singh,3
1,Sunrisers Hyderabad,N Pooran,38,22,2,3,172.73,c M Markande b RP Meredith,4
1,Sunrisers Hyderabad,AK Markram,2,4,0,0,50.0,c TH David b Ramandeep Singh,5
1,Sunrisers Hyderabad,KS Williamson,8,7,1,0,114.29,not out,6
1,Sunrisers Hyderabad,Washington Sundar,9,7,0,0,128.57,b JJ Bumrah,7
2,Mumbai Indians,RG Sharma,48,36,2,4,133.33,c J Suchith b Washington Sundar,1
2,Mumbai Indians,Ishan Kishan,43,34,5,1,126.47,c PK Garg b Umran Malik,2
2,Mumbai Indians,DR Sams,15,11,0,1,136.36,c PK Garg b Umran Malik,3
2,Mumbai Indians,Tilak Varma,8,9,1,0,88.89,c KS Williamson b Umran Malik,4
2,Mumbai Indians,TH David,46,18,3,4,255.56,run out (T Natarajan),5
2,Mumbai Indians,T Stubbs,2,2,0,0,100.0,run out (B Kumar),6
2,Mumbai Indians,Ramandeep Singh,14,6,1,1,233.33,not out,7
2,Mumbai Indians,R Sanjay Yadav,0,2,0,0,0.0,c J Suchith b B Kumar,8
2,Mumbai Indians,JJ Bumrah,0,4,0,0,0.0,not out,9
