innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kolkata Knight Riders,AD Russell,3.0,0,45,0,15.0,1,0,0
1,Kolkata Knight Riders,CV Varun,4.0,0,38,0,9.5,9,0,1
1,Kolkata Knight Riders,N Rana,1.0,0,9,0,9.0,0,0,0
1,Kolkata Knight Riders,SP Narine,4.0,0,27,0,6.75,8,0,0
1,Kolkata Knight Riders,TG Southee,4.0,0,57,0,14.25,5,1,0
1,Kolkata Knight Riders,UT Yadav,4.0,0,34,0,8.5,7,0,0
2,Lucknow Super Giants,Avesh Khan,4.0,0,60,0,15.0,6,3,1
2,Lucknow Super Giants,JO Holder,4.0,0,45,0,11.25,8,2,0
2,Lucknow Super Giants,K Gowtham,2.0,0,23,1,11.5,4,0,0
2,Lucknow Super Giants,MP Stoinis,2.0,0,23,3,11.5,4,0,0
2,Lucknow Super Giants,Mohsin Khan,4.0,0,20,3,5.0,16,1,0
2,Lucknow Super Giants,Ravi Bishnoi,4.0,0,34,1,8.5,5,0,0
