innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Chennai Super Kings,RD Gaikwad,2,6,0,0,33.33,c SV Samson b TA Boult,1
1,Chennai Super Kings,DP Conway,16,14,1,1,114.29,lbw b R Ashwin,2
1,Chennai Super Kings,MM Ali,93,57,13,3,163.16,c R Parag b OC McCoy,3
1,Chennai Super Kings,N Jagadeesan,1,4,0,0,25.0,c R Parag b OC McCoy,4
1,Chennai Super Kings,AT Rayudu,3,6,0,0,50.0,c D Padikkal b YS Chahal,5
1,Chennai Super Kings,MS Dhoni,26,28,1,1,92.86,c JC Buttler b YS Chahal,6
1,Chennai Super Kings,MJ Santner,1,2,0,0,50.0,not out,7
1,Chennai Super Kings,Simarjeet Singh,3,3,0,0,100.0,not out,8
2,Rajasthan Royals,YBK Jaiswal,59,44,8,1,134.09,c M Pathirana b PH Solanki,1
2,Rajasthan Royals,JC Buttler,2,5,0,0,40.0,c MM Ali b Simarjeet Singh,2
2,Rajasthan Royals,SV Samson,15,20,2,0,75.0,c & b MJ Santner,3
2,Rajasthan Royals,D Padikkal,3,9,0,0,33.33,b MM Ali,4
2,Rajasthan Royals,R Ashwin,40,23,2,3,173.91,not out,5
2,Rajasthan Royals,SO Hetmyer,6,7,1,0,85.71,c DP Conway b PH Solanki,6
2,Rajasthan Royals,R Parag,10,10,1,0,100.0,not out,7
