match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2022-03-27,Mumbai Indians,"Brabourne Stadium, Mumbai",38,17,2,3,223.53,not out,8
10,2022-04-02,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",8,4,2,0,200.0,c MS Wade b LH Ferguson,7
19,2022-04-10,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",22,14,2,1,157.14,not out,6
27,2022-04-16,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",10,7,1,0,142.86,not out,8
34,2022-04-22,Rajasthan Royals,"Wankhede Stadium, Mumbai",1,4,0,0,25.0,b YS Chahal,6
41,2022-04-28,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",24,17,2,1,141.18,"run out (VR Iyer, SS Iyer)",7
45,2022-05-01,Lucknow Super Giants,"Wankhede Stadium, Mumbai",42,24,1,3,175.0,not out,7
55,2022-05-08,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",1,3,0,0,33.33,b Mukesh Choudhary,7
64,2022-05-16,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",17,20,2,0,85.0,not out,7
69,2022-05-21,Mumbai Indians,"Wankhede Stadium, Mumbai",19,10,0,2,190.0,not out,7
