match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,2022-03-26,Chennai Super Kings,"Wankhede Stadium, Mumbai",4.0,0,23,1,5.75,11,1,0
6,2022-03-30,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",4.0,0,33,1,8.25,10,1,0
8,2022-04-01,Punjab Kings,"Wankhede Stadium, Mumbai",4.0,0,14,0,3.5,14,2,0
14,2022-04-06,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",4.0,0,32,1,8.0,8,0,0
19,2022-04-10,Delhi Capitals,"Brabourne Stadium, Mumbai",4.0,0,44,1,11.0,8,0,2
25,2022-04-15,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",3.0,0,45,0,15.0,2,0,0
30,2022-04-18,Rajasthan Royals,"Brabourne Stadium, Mumbai",2.0,0,30,0,15.0,1,1,0
35,2022-04-23,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",3.0,0,26,0,8.67,5,2,0
56,2022-05-09,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",3.0,0,22,1,7.33,5,0,0
61,2022-05-14,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",4.0,0,25,1,6.25,13,1,0
66,2022-05-18,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",4.0,0,38,0,9.5,9,0,1
