match_number,opponent,bowler,overs,maidens,runs,wickets,economy,dots
4,Lucknow Super Giants,HH Pandya,4.0,0,37,0,9.25,10
4,Lucknow Super Giants,LH Ferguson,4.0,0,24,0,6.0,11
4,Lucknow Super Giants,Mohammed Shami,4.0,0,25,3,6.25,13
4,Lucknow Super Giants,Rashid Khan,4.0,0,27,1,6.75,8
4,Lucknow Super Giants,VR Aaron,4.0,0,45,2,11.25,5
10,Delhi Capitals,HH Pandya,4.0,0,22,1,5.5,9
10,Delhi Capitals,LH Ferguson,4.0,0,28,4,7.0,11
10,Delhi Capitals,Mohammed Shami,4.0,0,30,2,7.5,10
10,Delhi Capitals,R Tewatia,2.0,0,22,0,11.0,3
10,Delhi Capitals,Rashid Khan,4.0,0,30,1,7.5,9
10,Delhi Capitals,V Shankar,1.0,0,14,0,14.0,2
10,Delhi Capitals,VR Aaron,1.0,0,7,0,7.0,1
16,Punjab Kings,DG Nalkande,3.0,0,37,2,12.33,4
16,Punjab Kings,HH Pandya,4.0,0,36,1,9.0,9
16,Punjab Kings,LH Ferguson,4.0,0,33,1,8.25,10
16,Punjab Kings,Mohammed Shami,4.0,0,36,1,9.0,11
16,Punjab Kings,R Tewatia,1.0,0,24,0,24.0,0
16,Punjab Kings,Rashid Khan,4.0,0,22,3,5.5,10
21,Sunrisers Hyderabad,DG Nalkande,2.1,0,22,0,10.15,4
21,Sunrisers Hyderabad,HH Pandya,4.0,0,27,1,6.75,10
21,Sunrisers Hyderabad,LH Ferguson,4.0,0,46,0,11.5,7
21,Sunrisers Hyderabad,Mohammed Shami,4.0,0,32,0,8.0,8
21,Sunrisers Hyderabad,R Tewatia,1.0,0,10,0,10.0,1
21,Sunrisers Hyderabad,Rashid Khan,4.0,0,28,1,7.0,5
24,Rajasthan Royals,HH Pandya,2.3,0,18,1,7.2,4
24,Rajasthan Royals,LH Ferguson,4.0,0,23,3,5.75,12
24,Rajasthan Royals,Mohammed Shami,4.0,0,39,1,9.75,6
24,Rajasthan Royals,R Tewatia,1.0,0,9,0,9.0,2
24,Rajasthan Royals,Rashid Khan,4.0,0,24,0,6.0,10
24,Rajasthan Royals,V Shankar,0.3,0,1,0,2.0,2
24,Rajasthan Royals,Yash Dayal,4.0,0,40,3,10.0,13
29,Chennai Super Kings,AS Joseph,4.0,0,34,2,8.5,10
29,Chennai Super Kings,LH Ferguson,4.0,0,46,0,11.5,5
29,Chennai Super Kings,Mohammed Shami,4.0,0,20,1,5.0,13
29,Chennai Super Kings,Rashid Khan,4.0,0,29,0,7.25,5
29,Chennai Super Kings,Yash Dayal,4.0,0,40,1,10.0,8
35,Kolkata Knight Riders,AS Joseph,4.0,0,31,1,7.75,12
35,Kolkata Knight Riders,LH Ferguson,4.0,0,33,1,8.25,13
35,Kolkata Knight Riders,Mohammed Shami,4.0,0,20,2,5.0,16
35,Kolkata Knight Riders,Rashid Khan,4.0,0,22,2,5.5,11
35,Kolkata Knight Riders,Yash Dayal,4.0,0,42,2,10.5,10
40,Sunrisers Hyderabad,AS Joseph,4.0,0,35,1,8.75,8
40,Sunrisers Hyderabad,LH Ferguson,4.0,0,52,0,13.0,6
40,Sunrisers Hyderabad,Mohammed Shami,4.0,0,39,3,9.75,14
