match_number,date,opponent,venue,result,margin
1,2022-03-26,Chennai Super Kings,"Wankhede Stadium, Mumbai",won,by 6 wickets
6,2022-03-30,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",lost,by 3 wickets
8,2022-04-01,Punjab Kings,"Wankhede Stadium, Mumbai",won,by 6 wickets
14,2022-04-06,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",won,by 5 wickets
19,2022-04-10,Delhi Capitals,"Brabourne Stadium, Mumbai",lost,by 44 runs
25,2022-04-15,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",lost,by 7 wickets
30,2022-04-18,Rajasthan Royals,"Brabourne Stadium, Mumbai",lost,by 7 runs
35,2022-04-23,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",lost,by 8 runs
41,2022-04-28,Delhi Capitals,"Wankhede Stadium, Mumbai",lost,by 4 wickets
47,2022-05-02,Rajasthan Royals,"Wankhede Stadium, Mumbai",won,by 7 wickets
53,2022-05-07,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",lost,by 75 runs
56,2022-05-09,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",won,by 52 runs
61,2022-05-14,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",won,by 54 runs
66,2022-05-18,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",lost,by 2 runs
