match_number,opponent,bowler,overs,maidens,runs,wickets,economy,dots
3,Royal Challengers Bangalore,Arshdeep Singh,4.0,0,31,1,7.75,9
3,Royal Challengers Bangalore,Harpreet Brar,3.0,0,38,0,12.67,5
3,Royal Challengers Bangalore,LS Livingstone,1.0,0,14,0,14.0,1
3,Royal Challengers Bangalore,OF Smith,4.0,0,52,0,13.0,8
3,Royal Challengers Bangalore,RD Chahar,4.0,0,22,1,5.5,7
3,Royal Challengers Bangalore,Sandeep Sharma,4.0,0,37,0,9.25,9
8,Kolkata Knight Riders,Arshdeep Singh,3.0,0,32,0,10.67,8
8,Kolkata Knight Riders,Harpreet Brar,2.0,0,20,0,10.0,4
8,Kolkata Knight Riders,K Rabada,3.0,0,23,1,7.67,8
8,Kolkata Knight Riders,LS Livingstone,0.3,0,13,0,26.0,0
8,Kolkata Knight Riders,OF Smith,2.0,0,39,1,19.5,4
8,Kolkata Knight Riders,RD Chahar,4.0,1,13,2,3.25,13
11,Chennai Super Kings,Arshdeep Singh,2.0,0,13,1,6.5,5
11,Chennai Super Kings,K Rabada,3.0,0,28,1,9.33,11
11,Chennai Super Kings,LS Livingstone,3.0,0,25,2,8.33,7
11,Chennai Super Kings,OF Smith,2.0,0,14,1,7.0,6
11,Chennai Super Kings,RD Chahar,4.0,0,25,3,6.25,9
11,Chennai Super Kings,VG Arora,4.0,0,21,2,5.25,14
16,Gujarat Titans,Arshdeep Singh,4.0,0,31,0,7.75,9
16,Gujarat Titans,K Rabada,4.0,0,35,2,8.75,6
16,Gujarat Titans,LS Livingstone,1.0,0,12,0,12.0,1
16,Gujarat Titans,OF Smith,3.0,0,35,0,11.67,5
16,Gujarat Titans,RD Chahar,4.0,0,41,1,10.25,6
16,Gujarat Titans,VG Arora,4.0,0,34,0,8.5,5
23,Mumbai Indians,Arshdeep Singh,4.0,0,29,0,7.25,11
23,Mumbai Indians,K Rabada,4.0,0,29,2,7.25,15
23,Mumbai Indians,LS Livingstone,1.0,0,11,0,11.0,1
23,Mumbai Indians,OF Smith,3.0,0,30,4,10.0,9
23,Mumbai Indians,RD Chahar,4.0,0,44,0,11.0,6
23,Mumbai Indians,VG Arora,4.0,0,43,1,10.75,9
28,Sunrisers Hyderabad,Arshdeep Singh,4.0,0,32,0,8.0,7
28,Sunrisers Hyderabad,K Rabada,4.0,0,29,1,7.25,9
28,Sunrisers Hyderabad,LS Livingstone,2.0,0,19,0,9.5,3
28,Sunrisers Hyderabad,OF Smith,1.0,0,8,0,8.0,3
28,Sunrisers Hyderabad,RD Chahar,4.0,0,28,2,7.0,7
28,Sunrisers Hyderabad,VG Arora,3.5,0,35,0,9.13,8
32,Delhi Capitals,Arshdeep Singh,1.0,0,17,0,17.0,1
32,Delhi Capitals,K Rabada,3.0,0,35,0,11.67,5
32,Delhi Capitals,NT Ellis,2.0,0,15,0,7.5,5
32,Delhi Capitals,RD Chahar,2.3,0,21,1,8.4,4
32,Delhi Capitals,VG Arora,2.0,0,31,0,15.5,2
38,Chennai Super Kings,Arshdeep Singh,4.0,0,23,1,5.75,8
38,Chennai Super Kings,K Rabada,4.0,0,23,2,5.75,12
38,Chennai Super Kings,LS Livingstone,1.0,0,12,0,12.0,2
38,Chennai Super Kings,R Dhawan,4.0,0,39,2,9.75,9
38,Chennai Super Kings,RD Chahar,3.0,0,30,0,10.0,3
38,Chennai Super Kings,Sandeep Sharma,4.0,0,40,1,10.0,10
42,Lucknow Super Giants,Arshdeep Singh,4.0,0,23,0,5.75,7
42,Lucknow Super Giants,K Rabada,4.0,0,38,4,9.5,12
42,Lucknow Super Giants,LS Livingstone,2.0,0,23,0,11.5,1
42,Lucknow Super Giants,R Dhawan,2.0,0,13,0,6.5,5
42,Lucknow Super Giants,RD Chahar,4.0,0,30,2,7.5,10
42,Lucknow Super Giants,Sandeep Sharma,4.0,0,18,1,4.5,14
48,Gujarat Titans,Arshdeep Singh,4.0,0,36,1,9.0,5
48,Gujarat Titans,K Rabada,4.0,0,33,4,8.25,11
48,Gujarat Titans,LS Livingstone,2.3,0,15,1,6.0,5
48,Gujarat Titans,R Dhawan,4.0,0,26,1,6.5,6
48,Gujarat Titans,RD Chahar,1.3,0,11,0,7.33,3
48,Gujarat Titans,Sandeep Sharma,4.0,0,17,0,4.25,15
52,Rajasthan Royals,Arshdeep Singh,4.0,0,29,2,7.25,8
52,Rajasthan Royals,K Rabada,4.0,0,50,1,12.5,7
52,Rajasthan Royals,LS Livingstone,1.0,0,6,0,6.0,1
52,Rajasthan Royals,R Dhawan,3.0,0,25,1,8.33,5
52,Rajasthan Royals,RD Chahar,3.4,0,39,0,10.64,5
52,Rajasthan Royals,Sandeep Sharma,4.0,0,41,0,10.25,10
60,Royal Challengers Bangalore,Arshdeep Singh,4.0,0,27,1,6.75,9
60,Royal Challengers Bangalore,Harpreet Brar,4.0,0,33,1,8.25,11
60,Royal Challengers Bangalore,K Rabada,4.0,0,21,3,5.25,15
60,Royal Challengers Bangalore,R Dhawan,4.0,0,36,2,9.0,4
60,Royal Challengers Bangalore,RD Chahar,4.0,0,37,2,9.25,10
64,Delhi Capitals,Arshdeep Singh,4.0,0,37,3,9.25,5
64,Delhi Capitals,Harpreet Brar,3.0,0,29,0,9.67,5
64,Delhi Capitals,K Rabada,3.0,0,24,1,8.0,8
64,Delhi Capitals,LS Livingstone,4.0,0,27,3,6.75,8
64,Delhi Capitals,R Dhawan,2.0,0,17,0,8.5,2
64,Delhi Capitals,RD Chahar,4.0,0,19,0,4.75,14
