innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Punjab Kings,P Simran Singh,60,34,7,3,176.47,c JC Buttler b JO Holder,1
1,Punjab Kings,S Dhawan,86,56,9,3,153.57,not out,2
1,Punjab Kings,PBB Rajapaksa,1,1,0,0,100.0,retired hurt,3
1,Punjab Kings,JM Sharma,27,16,2,1,168.75,c R Parag b YS Chahal,4
1,Punjab Kings,Sikandar Raza,1,2,0,0,50.0,b R Ashwin,5
1,Punjab Kings,M Shahrukh Khan,11,10,1,0,110.0,c JC Buttler b JO Holder,6
1,Punjab Kings,SM Curran,1,2,0,0,50.0,not out,7
2,Rajasthan Royals,YBK Jaiswal,11,8,1,1,137.5,c MW Short b Arshdeep Singh,1
2,Rajasthan Royals,R Ashwin,0,4,0,0,0.0,c S Dhawan b Arshdeep Singh,2
2,Rajasthan Royals,JC Buttler,19,11,1,1,172.73,c & b NT Ellis,3
2,Rajasthan Royals,SV Samson,42,25,5,1,168.0,c MW Short b NT Ellis,4
2,Rajasthan Royals,D Padikkal,21,26,1,0,80.77,b NT Ellis,5
2,Rajasthan Royals,R Parag,20,12,1,2,166.67,c M Shahrukh Khan b NT Ellis,6
2,Rajasthan Royals,SO Hetmyer,36,18,1,3,200.0,"run out (M Shahrukh Khan, SM Curran)",7
2,Rajasthan Royals,Dhruv Jurel,32,15,3,2,213.33,not out,8
2,Rajasthan Royals,JO Holder,1,1,0,0,100.0,not out,9
