innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Lucknow Super Giants,A Mishra,2.0,0,18,1,9.0,2,0,0
1,Lucknow Super Giants,Avesh Khan,4.0,0,53,0,13.25,7,0,0
1,Lucknow Super Giants,JD Unadkat,2.0,0,27,0,13.5,3,1,0
1,Lucknow Super Giants,KH Pandya,4.0,0,35,0,8.75,4,0,0
1,Lucknow Super Giants,MA Wood,4.0,0,32,1,8.0,10,2,0
1,Lucknow Super Giants,Ravi Bishnoi,4.0,0,39,0,9.75,5,1,0
2,Royal Challengers Bangalore,DJ Willey,4.0,0,32,0,8.0,6,1,0
2,Royal Challengers Bangalore,HV Patel,4.0,0,48,2,12.0,4,0,0
2,Royal Challengers Bangalore,KV Sharma,3.0,0,48,1,16.0,4,1,0
2,Royal Challengers Bangalore,Mohammed Siraj,4.0,0,22,3,5.5,15,4,0
2,Royal Challengers Bangalore,Shahbaz Ahmed,1.0,0,15,0,15.0,1,0,0
2,Royal Challengers Bangalore,WD Parnell,4.0,0,41,3,10.25,6,3,0
