innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Sunrisers Hyderabad,HC Brook,100,55,12,3,181.82,not out,1
1,Sunrisers Hyderabad,MA Agarwal,9,13,0,0,69.23,c CV Varun b AD Russell,2
1,Sunrisers Hyderabad,RA Tripathi,9,4,2,0,225.0,c Rahmanullah Gurbaz b AD Russell,3
1,Sunrisers Hyderabad,AK Markram,50,26,2,5,192.31,c AD Russell b CV Varun,4
1,Sunrisers Hyderabad,Abhishek Sharma,32,17,3,2,188.24,c SN Thakur b AD Russell,5
1,Sunrisers Hyderabad,H Klaasen,16,6,2,1,266.67,not out,6
2,Kolkata Knight Riders,Rahmanullah Gurbaz,0,3,0,0,0.0,c Umran Malik b B Kumar,1
2,Kolkata Knight Riders,N Jagadeesan,36,21,5,1,171.43,c GD Phillips b M Markande,2
2,Kolkata Knight Riders,VR Iyer,10,11,2,0,90.91,c AK Markram b M Jansen,3
2,Kolkata Knight Riders,SP Narine,0,1,0,0,0.0,c AK Markram b M Jansen,4
2,Kolkata Knight Riders,N Rana,75,41,5,6,182.93,c Washington Sundar b T Natarajan,5
2,Kolkata Knight Riders,AD Russell,3,6,0,0,50.0,c M Jansen b M Markande,6
2,Kolkata Knight Riders,RK Singh,58,31,4,4,187.1,not out,7
2,Kolkata Knight Riders,SN Thakur,12,7,2,0,171.43,c Washington Sundar b Umran Malik,8
2,Kolkata Knight Riders,UT Yadav,1,1,0,0,100.0,not out,9
