innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Sunrisers Hyderabad,1,HC Brook,32,12,MA Agarwal,9,13,46,25
1,Sunrisers Hyderabad,2,RA Tripathi,9,4,HC Brook,1,1,11,5
1,Sunrisers Hyderabad,3,HC Brook,20,21,AK Markram,50,26,72,47
1,Sunrisers Hyderabad,4,Abhishek Sharma,32,17,HC Brook,37,16,72,32
1,Sunrisers Hyderabad,5,H Klaasen,16,6,HC Brook,10,5,27,11
2,Kolkata Knight Riders,1,Rahmanullah Gurbaz,0,3,N Jagadeesan,0,0,0,3
2,Kolkata Knight Riders,2,VR Iyer,10,11,N Jagadeesan,8,6,20,17
2,Kolkata Knight Riders,3,SP Narine,0,1,N Jagadeesan,0,0,0,1
2,Kolkata Knight Riders,4,N Rana,34,14,N Jagadeesan,28,15,62,29
2,Kolkata Knight Riders,5,AD Russell,3,6,N Rana,8,6,14,11
2,Kolkata Knight Riders,6,RK Singh,32,18,N Rana,33,21,69,38
2,Kolkata Knight Riders,7,SN Thakur,12,7,RK Singh,19,9,32,16
2,Kolkata Knight Riders,8,UT Yadav,1,1,RK Singh,7,4,8,5
