innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Royal Challengers Bangalore,V Kohli,50,34,6,1,147.06,c YV Dhull b Lalit Yadav,1
1,Royal Challengers Bangalore,F du Plessis,22,16,3,1,137.5,c Aman Hakim Khan b MR Marsh,2
1,Royal Challengers Bangalore,MK Lomror,26,18,0,2,144.44,c Abishek Porel b MR Marsh,3
1,Royal Challengers Bangalore,GJ Maxwell,24,14,0,3,171.43,c DA Warner b Kuldeep Yadav,4
1,Royal Challengers Bangalore,HV Patel,6,4,0,1,150.0,c Abishek Porel b AR Patel,5
1,Royal Challengers Bangalore,Shahbaz Ahmed,20,12,3,0,166.67,not out,6
1,Royal Challengers Bangalore,KD Karthik,0,1,0,0,0.0,c Lalit Yadav b Kuldeep Yadav,7
1,Royal Challengers Bangalore,Anuj Rawat,15,22,1,0,68.18,not out,8
2,Delhi Capitals,DA Warner,19,13,4,0,146.15,c V Kohli b Vijaykumar Vyshak,1
2,Delhi Capitals,PP Shaw,0,2,0,0,0.0,run out (Anuj Rawat),2
2,Delhi Capitals,MR Marsh,0,4,0,0,0.0,c V Kohli b WD Parnell,3
2,Delhi Capitals,YV Dhull,1,4,0,0,25.0,lbw b Mohammed Siraj,4
2,Delhi Capitals,MK Pandey,50,38,5,1,131.58,lbw b PWH de Silva,5
2,Delhi Capitals,Abishek Porel,5,8,0,0,62.5,c WD Parnell b HV Patel,6
2,Delhi Capitals,AR Patel,21,14,3,0,150.0,c Mohammed Siraj b Vijaykumar Vyshak,7
2,Delhi Capitals,Aman Hakim Khan,18,10,1,1,180.0,c V Kohli b Mohammed Siraj,8
2,Delhi Capitals,Lalit Yadav,4,7,0,0,57.14,c GJ Maxwell b Vijaykumar Vyshak,9
2,Delhi Capitals,A Nortje,23,14,4,0,164.29,not out,10
2,Delhi Capitals,Kuldeep Yadav,7,6,1,0,116.67,not out,11
