innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Gujarat Titans,WP Saha,4,3,1,0,133.33,c & b TA Boult,1
1,Gujarat Titans,Shubman Gill,45,34,4,1,132.35,c JC Buttler b Sandeep Sharma,2
1,Gujarat Titans,B Sai Sudharsan,20,19,2,0,105.26,"run out (JC Buttler, SV Samson)",3
1,Gujarat Titans,HH Pandya,28,19,3,1,147.37,c YBK Jaiswal b YS Chahal,4
1,Gujarat Titans,DA Miller,46,30,3,2,153.33,c SO Hetmyer b Sandeep Sharma,5
1,Gujarat Titans,A Manohar,27,13,0,3,207.69,c D Padikkal b A Zampa,6
1,Gujarat Titans,R Tewatia,1,1,0,0,100.0,not out,7
1,Gujarat Titans,Rashid Khan,1,1,0,0,100.0,"run out (JC Buttler, Sandeep Sharma)",8
2,Rajasthan Royals,YBK Jaiswal,1,7,0,0,14.29,c Shubman Gill b HH Pandya,1
2,Rajasthan Royals,JC Buttler,0,5,0,0,0.0,b Mohammed Shami,2
2,Rajasthan Royals,D Padikkal,26,25,2,2,104.0,c MM Sharma b Rashid Khan,3
2,Rajasthan Royals,SV Samson,60,32,3,6,187.5,c DA Miller b Noor Ahmad,4
2,Rajasthan Royals,R Parag,5,7,0,0,71.43,c DA Miller b Rashid Khan,5
2,Rajasthan Royals,SO Hetmyer,56,26,2,5,215.38,not out,6
2,Rajasthan Royals,Dhruv Jurel,18,10,2,1,180.0,c MM Sharma b Mohammed Shami,7
2,Rajasthan Royals,R Ashwin,10,3,1,1,333.33,c R Tewatia b Mohammed Shami,8
2,Rajasthan Royals,TA Boult,0,1,0,0,0.0,not out,9
