innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Sunrisers Hyderabad,HC Brook,18,13,3,0,138.46,c RD Gaikwad b Akash Singh,1
1,Sunrisers Hyderabad,Abhishek Sharma,34,26,3,1,130.77,c AM Rahane b RA Jadeja,2
1,Sunrisers Hyderabad,RA Tripathi,21,21,1,1,100.0,c Akash Singh b RA Jadeja,3
1,Sunrisers Hyderabad,AK Markram,12,12,1,0,100.0,c MS Dhoni b M Theekshana,4
1,Sunrisers Hyderabad,H Klaasen,17,16,1,0,106.25,c RD Gaikwad b M Pathirana,5
1,Sunrisers Hyderabad,MA Agarwal,2,4,0,0,50.0,st MS Dhoni b RA Jadeja,6
1,Sunrisers Hyderabad,M Jansen,17,22,1,0,77.27,not out,7
1,Sunrisers Hyderabad,Washington Sundar,9,6,1,0,150.0,run out (MS Dhoni),8
2,Chennai Super Kings,RD Gaikwad,35,30,2,0,116.67,run out (Umran Malik),1
2,Chennai Super Kings,DP Conway,77,57,12,1,135.09,not out,2
2,Chennai Super Kings,AM Rahane,9,10,0,0,90.0,c AK Markram b M Markande,3
2,Chennai Super Kings,AT Rayudu,9,9,1,0,100.0,b M Markande,4
2,Chennai Super Kings,MM Ali,6,6,1,0,100.0,not out,5
