innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Punjab Kings,1,1,MW Short,Arjun Tendulkar,P Simran Singh,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,2,MW Short,Arjun Tendulkar,P Simran Singh,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,3.wides,P Simran Singh,Arjun Tendulkar,MW Short,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,3,P Simran Singh,Arjun Tendulkar,MW Short,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,4,MW Short,Arjun Tendulkar,P Simran Singh,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,5.wides,MW Short,Arjun Tendulkar,P Simran Singh,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,5,MW Short,Arjun Tendulkar,P Simran Singh,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,6,P Simran Singh,Arjun Tendulkar,MW Short,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,1,MW Short,JP Behrendorff,P Simran Singh,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,2,P Simran Singh,JP Behrendorff,MW Short,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,3,P Simran Singh,JP Behrendorff,MW Short,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,4,MW Short,JP Behrendorff,P Simran Singh,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,5,MW Short,JP Behrendorff,P Simran Singh,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,6,MW Short,JP Behrendorff,P Simran Singh,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,1,P Simran Singh,C Green,MW Short,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,2,MW Short,C Green,P Simran Singh,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,3,MW Short,C Green,P Simran Singh,0,0,0,,0,0,0,0,0,True,caught,MW Short,PP Chawla,powerplay
1,Punjab Kings,3,4,Atharva Taide,C Green,P Simran Singh,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,5,Atharva Taide,C Green,P Simran Singh,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,6,P Simran Singh,C Green,Atharva Taide,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,4,1,P Simran Singh,JP Behrendorff,Atharva Taide,6,0,6,,0,0,0,0,0,False,,,,powerplay
