innings,team,wicket_number,player_out,score,over
1,Delhi Capitals,1,PD Salt,1,1.3
1,Delhi Capitals,2,MR Marsh,39,5.4
1,Delhi Capitals,3,DA Warner,57,8.2
1,Delhi Capitals,4,SN Khan,58,8.4
1,Delhi Capitals,5,Aman Hakim Khan,62,8.6
1,Delhi Capitals,6,AR Patel,131,18.5
1,Delhi Capitals,7,MK Pandey,134,19.2
1,Delhi Capitals,8,A Nortje,139,20.2
1,Delhi Capitals,9,RV Patel,139,20.4
2,Sunrisers Hyderabad,1,HC Brook,31,6.1
2,Sunrisers Hyderabad,2,MA Agarwal,69,12.3
2,Sunrisers Hyderabad,3,RA Tripathi,75,13.3
2,Sunrisers Hyderabad,4,Abhishek Sharma,79,14.3
2,Sunrisers Hyderabad,5,AK Markram,85,15.1
2,Sunrisers Hyderabad,6,H Klaasen,126,19.3
