innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Rajasthan Royals,1,YBK Jaiswal,41,25,JC Buttler,18,19,72,43
1,Rajasthan Royals,2,SV Samson,14,10,YBK Jaiswal,6,6,23,16
1,Rajasthan Royals,3,D Padikkal,2,4,YBK Jaiswal,5,2,8,6
1,Rajasthan Royals,4,JO Holder,11,9,YBK Jaiswal,25,11,40,20
1,Rajasthan Royals,5,SO Hetmyer,8,9,YBK Jaiswal,8,4,16,13
1,Rajasthan Royals,6,Dhruv Jurel,2,3,YBK Jaiswal,7,2,9,5
1,Rajasthan Royals,7,R Ashwin,3,3,YBK Jaiswal,32,12,37,15
1,Rajasthan Royals,8,TA Boult,0,0,R Ashwin,5,2,7,2
2,Mumbai Indians,1,RG Sharma,3,5,Ishan Kishan,9,7,14,12
2,Mumbai Indians,2,Ishan Kishan,19,16,C Green,41,22,62,38
2,Mumbai Indians,3,SA Yadav,22,10,C Green,3,4,25,14
2,Mumbai Indians,4,Tilak Varma,14,12,SA Yadav,33,19,51,30
2,Mumbai Indians,5,TH David,45,14,Tilak Varma,15,9,62,23
