innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Rajasthan Royals,1,YBK Jaiswal,35,18,JC Buttler,13,12,54,30
1,Rajasthan Royals,2,JC Buttler,82,47,SV Samson,52,34,138,81
1,Rajasthan Royals,3,SO Hetmyer,7,5,SV Samson,14,4,22,9
2,Sunrisers Hyderabad,1,Anmolpreet Singh,33,25,Abhishek Sharma,18,10,51,35
2,Sunrisers Hyderabad,2,RA Tripathi,25,17,Abhishek Sharma,37,24,65,41
2,Sunrisers Hyderabad,3,H Klaasen,26,12,RA Tripathi,15,7,41,19
2,Sunrisers Hyderabad,4,AK Markram,6,4,RA Tripathi,7,5,14,9
2,Sunrisers Hyderabad,5,GD Phillips,3,2,AK Markram,0,1,3,3
2,Sunrisers Hyderabad,6,Abdul Samad,0,1,GD Phillips,22,5,22,6
2,Sunrisers Hyderabad,7,M Jansen,3,2,Abdul Samad,17,6,21,7
