innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Punjab Kings,1,1,P Simran Singh,VG Arora,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,2,P Simran Singh,VG Arora,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,3,P Simran Singh,VG Arora,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,4,P Simran Singh,VG Arora,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,5,P Simran Singh,VG Arora,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,1,6,P Simran Singh,VG Arora,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,1,S Dhawan,Harshit Rana,P Simran Singh,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,2,S Dhawan,Harshit Rana,P Simran Singh,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,3,S Dhawan,Harshit Rana,P Simran Singh,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,4,S Dhawan,Harshit Rana,P Simran Singh,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,5,P Simran Singh,Harshit Rana,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,2,6,P Simran Singh,Harshit Rana,S Dhawan,0,0,0,,0,0,0,0,0,True,caught,P Simran Singh,Rahmanullah Gurbaz,powerplay
1,Punjab Kings,3,1,S Dhawan,VG Arora,PBB Rajapaksa,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,2,S Dhawan,VG Arora,PBB Rajapaksa,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,3,S Dhawan,VG Arora,PBB Rajapaksa,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,4,S Dhawan,VG Arora,PBB Rajapaksa,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,5,S Dhawan,VG Arora,PBB Rajapaksa,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,3,6,PBB Rajapaksa,VG Arora,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,4,1,S Dhawan,Harshit Rana,PBB Rajapaksa,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Punjab Kings,4,2,PBB Rajapaksa,Harshit Rana,S Dhawan,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Punjab Kings,4,3,S Dhawan,Harshit Rana,PBB Rajapaksa,0,1,1,legbyes,0,0,0,1,0,False,,,,powerplay
1,Punjab Kings,4,4,PBB Rajapaksa,Harshit Rana,S Dhawan,0,0,0,,0,0,0,0,0,True,caught,PBB Rajapaksa,Rahmanullah Gurbaz,powerplay
1,Punjab Kings,4,5,LS Livingstone,Harshit Rana,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,4,6.noballs,S Dhawan,Harshit Rana,LS Livingstone,1,1,2,noballs,0,1,0,0,0,False,,,,powerplay
1,Punjab Kings,4,6,LS Livingstone,Harshit Rana,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,5,1,S Dhawan,AD Russell,LS Livingstone,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,5,2,LS Livingstone,AD Russell,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,5,3,LS Livingstone,AD Russell,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,5,4.noballs,LS Livingstone,AD Russell,S Dhawan,4,1,5,noballs,0,1,0,0,0,False,,,,powerplay
1,Punjab Kings,5,4,LS Livingstone,AD Russell,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,5,5,LS Livingstone,AD Russell,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,5,6,S Dhawan,AD Russell,LS Livingstone,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,6,1,LS Livingstone,CV Varun,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,6,2,S Dhawan,CV Varun,LS Livingstone,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,6,3,LS Livingstone,CV Varun,S Dhawan,0,0,0,,0,0,0,0,0,True,lbw,LS Livingstone,,powerplay
1,Punjab Kings,6,4,JM Sharma,CV Varun,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,6,5,S Dhawan,CV Varun,JM Sharma,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,6,6,S Dhawan,CV Varun,JM Sharma,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Punjab Kings,7,1,JM Sharma,Suyash Sharma,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,middle
1,Punjab Kings,7,2,S Dhawan,Suyash Sharma,JM Sharma,0,0,0,,0,0,0,0,0,False,,,,middle
1,Punjab Kings,7,3,S Dhawan,Suyash Sharma,JM Sharma,0,0,0,,0,0,0,0,0,False,,,,middle
1,Punjab Kings,7,4,S Dhawan,Suyash Sharma,JM Sharma,0,4,4,byes,0,0,4,0,0,False,,,,middle
1,Punjab Kings,7,5,S Dhawan,Suyash Sharma,JM Sharma,1,0,1,,0,0,0,0,0,False,,,,middle
1,Punjab Kings,7,6,JM Sharma,Suyash Sharma,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,middle
1,Punjab Kings,8,1,S Dhawan,CV Varun,JM Sharma,1,0,1,,0,0,0,0,0,False,,,,middle
1,Punjab Kings,8,2,JM Sharma,CV Varun,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,middle
1,Punjab Kings,8,3,JM Sharma,CV Varun,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,middle
1,Punjab Kings,8,4,S Dhawan,CV Varun,JM Sharma,0,0,0,,0,0,0,0,0,False,,,,middle
