innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Chennai Super Kings,1,RD Gaikwad,79,50,DP Conway,60,37,141,87
1,Chennai Super Kings,2,S Dube,22,9,DP Conway,27,13,54,21
1,Chennai Super Kings,3,DP Conway,0,2,MS Dhoni,0,0,0,2
1,Chennai Super Kings,4,RA Jadeja,20,7,MS Dhoni,5,4,28,10
2,Delhi Capitals,1,PP Shaw,5,7,DA Warner,0,2,5,9
2,Delhi Capitals,2,PD Salt,3,6,DA Warner,18,13,21,19
2,Delhi Capitals,3,RR Rossouw,0,1,DA Warner,0,0,0,1
2,Delhi Capitals,4,YV Dhull,13,15,DA Warner,35,21,49,36
2,Delhi Capitals,5,AR Patel,15,8,DA Warner,18,8,34,16
2,Delhi Capitals,6,Aman Hakim Khan,7,9,DA Warner,11,7,22,16
2,Delhi Capitals,7,Lalit Yadav,5,7,DA Warner,4,7,13,14
2,Delhi Capitals,8,A Nortje,0,1,Lalit Yadav,1,5,2,6
2,Delhi Capitals,9,Kuldeep Yadav,0,1,A Nortje,0,0,0,1
2,Delhi Capitals,10,C Sakariya,0,2,A Nortje,0,0,0,2
