match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2023-03-31,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",63,36,6,3,175.0,c RD Gaikwad b TU Deshpande,2
7,2023-04-04,Delhi Capitals,"Arun Jaitley Stadium, Delhi",14,13,3,0,107.69,b A Nortje,2
13,2023-04-09,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",39,31,5,0,125.81,c UT Yadav b SP Narine,2
18,2023-04-13,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",67,49,7,1,136.73,b SM Curran,2
23,2023-04-16,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",45,34,4,1,132.35,c JC Buttler b Sandeep Sharma,2
30,2023-04-22,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,2,0,0,0.0,c Ravi Bishnoi b KH Pandya,2
35,2023-04-25,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",56,34,7,1,164.71,c SA Yadav b K Kartikeya,2
39,2023-04-29,Kolkata Knight Riders,"Eden Gardens, Kolkata",49,35,8,0,140.0,c AD Russell b SP Narine,2
44,2023-05-02,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",6,7,1,0,85.71,c MK Pandey b A Nortje,2
48,2023-05-05,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",36,35,6,0,102.86,st SV Samson b YS Chahal,2
51,2023-05-07,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",94,51,2,7,184.31,not out,2
57,2023-05-12,Mumbai Indians,"Wankhede Stadium, Mumbai",6,9,0,0,66.67,b Akash Madhwal,2
62,2023-05-15,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",101,58,13,1,174.14,c Abdul Samad b B Kumar,2
70,2023-05-21,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",104,52,5,8,200.0,not out,2
71,2023-05-23,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",42,38,4,1,110.53,c DP Conway b DL Chahar,2
73,2023-05-26,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",129,60,7,10,215.0,c TH David b Akash Madhwal,2
74,2023-05-29,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",39,20,7,0,195.0,st MS Dhoni b RA Jadeja,2
