match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
4,2023-04-02,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,1,21,2,5.25,15,0,0
8,2023-04-05,Punjab Kings,"Barsapara Cricket Stadium, Guwahati",4.0,0,38,0,9.5,8,1,0
11,2023-04-08,Delhi Capitals,"Barsapara Cricket Stadium, Guwahati",4.0,1,29,3,7.25,11,0,0
23,2023-04-16,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4.0,0,46,1,11.5,6,2,0
26,2023-04-19,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",4.0,1,16,1,4.0,16,0,0
32,2023-04-23,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",4.0,0,41,2,10.25,8,1,0
42,2023-04-30,Mumbai Indians,"Wankhede Stadium, Mumbai",4.0,0,43,1,10.75,7,2,0
48,2023-05-05,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",3.0,0,28,0,9.33,8,0,0
56,2023-05-11,Kolkata Knight Riders,"Eden Gardens, Kolkata",3.0,0,15,2,5.0,12,0,0
66,2023-05-19,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",4.0,0,35,1,8.75,12,1,0
