match_number,opponent,bowler,overs,maidens,runs,wickets,economy,dots
2,Punjab Kings,CV Varun,4.0,0,26,1,6.5,9
2,Punjab Kings,SN Thakur,4.0,0,43,0,10.75,7
2,Punjab Kings,SP Narine,4.0,0,40,1,10.0,8
2,Punjab Kings,TG Southee,4.0,0,54,2,13.5,7
2,Punjab Kings,UT Yadav,4.0,0,27,1,6.75,11
9,Royal Challengers Bangalore,CV Varun,3.4,0,15,4,4.09,12
9,Royal Challengers Bangalore,SN Thakur,2.0,0,15,1,7.5,4
9,Royal Challengers Bangalore,SP Narine,4.0,0,16,2,4.0,11
9,Royal Challengers Bangalore,Suyash Sharma,4.0,0,30,3,7.5,11
9,Royal Challengers Bangalore,TG Southee,2.0,0,25,0,12.5,5
9,Royal Challengers Bangalore,UT Yadav,2.0,0,17,0,8.5,5
13,Gujarat Titans,CV Varun,2.0,0,27,0,13.5,1
13,Gujarat Titans,LH Ferguson,4.0,0,40,0,10.0,6
13,Gujarat Titans,SN Thakur,3.0,0,40,0,13.33,2
13,Gujarat Titans,SP Narine,4.0,0,33,3,8.25,8
13,Gujarat Titans,Suyash Sharma,4.0,0,35,1,8.75,6
13,Gujarat Titans,UT Yadav,3.0,0,24,0,8.0,6
19,Sunrisers Hyderabad,AD Russell,2.1,0,22,3,10.15,4
19,Sunrisers Hyderabad,CV Varun,4.0,0,41,1,10.25,4
19,Sunrisers Hyderabad,LH Ferguson,2.0,0,37,0,18.5,4
19,Sunrisers Hyderabad,SN Thakur,0.5,0,14,0,16.8,0
19,Sunrisers Hyderabad,SP Narine,4.0,0,28,0,7.0,7
19,Sunrisers Hyderabad,Suyash Sharma,4.0,0,44,0,11.0,8
19,Sunrisers Hyderabad,UT Yadav,3.0,0,42,0,14.0,3
22,Mumbai Indians,AD Russell,1.0,0,17,0,17.0,1
22,Mumbai Indians,CV Varun,4.0,0,38,1,9.5,10
22,Mumbai Indians,LH Ferguson,1.4,0,19,1,11.4,4
22,Mumbai Indians,SN Thakur,2.0,0,25,1,12.5,2
22,Mumbai Indians,SP Narine,3.0,0,41,0,13.67,4
22,Mumbai Indians,Suyash Sharma,4.0,0,27,2,6.75,11
22,Mumbai Indians,UT Yadav,2.0,0,19,0,9.5,6
28,Delhi Capitals,AD Russell,1.0,0,12,0,12.0,3
28,Delhi Capitals,AS Roy,4.0,0,19,2,4.75,13
28,Delhi Capitals,CV Varun,4.0,1,16,2,4.0,13
28,Delhi Capitals,K Khejroliya,1.2,0,20,0,15.0,2
28,Delhi Capitals,N Rana,4.0,0,17,2,4.25,10
28,Delhi Capitals,SP Narine,4.0,0,36,0,9.0,6
28,Delhi Capitals,UT Yadav,1.0,0,6,0,6.0,3
33,Chennai Super Kings,AD Russell,1.0,0,17,0,17.0,0
33,Chennai Super Kings,CV Varun,4.0,0,49,1,12.25,8
33,Chennai Super Kings,D Wiese,3.0,0,38,0,12.67,3
33,Chennai Super Kings,K Khejroliya,3.0,0,44,2,14.67,5
33,Chennai Super Kings,SP Narine,2.0,0,23,0,11.5,3
33,Chennai Super Kings,Suyash Sharma,4.0,0,29,1,7.25,8
33,Chennai Super Kings,UT Yadav,3.0,0,35,0,11.67,7
36,Royal Challengers Bangalore,AD Russell,4.0,0,29,2,7.25,11
36,Royal Challengers Bangalore,CV Varun,4.0,0,27,3,6.75,9
36,Royal Challengers Bangalore,N Rana,1.0,0,8,0,8.0,1
36,Royal Challengers Bangalore,SP Narine,4.0,0,41,0,10.25,1
36,Royal Challengers Bangalore,Suyash Sharma,4.0,0,30,2,7.5,5
36,Royal Challengers Bangalore,UT Yadav,1.0,0,19,0,19.0,0
36,Royal Challengers Bangalore,VG Arora,2.0,0,22,0,11.0,1
39,Gujarat Titans,AD Russell,3.0,0,29,1,9.67,6
39,Gujarat Titans,CV Varun,4.0,0,42,0,10.5,5
39,Gujarat Titans,Harshit Rana,3.0,0,25,1,8.33,6
39,Gujarat Titans,N Rana,0.5,0,14,0,16.8,0
39,Gujarat Titans,SP Narine,3.0,0,24,1,8.0,3
39,Gujarat Titans,Suyash Sharma,4.0,0,37,0,9.25,6
47,Sunrisers Hyderabad,AD Russell,1.0,0,15,1,15.0,4
47,Sunrisers Hyderabad,AS Roy,3.0,0,26,1,8.67,6
47,Sunrisers Hyderabad,CV Varun,4.0,0,20,1,5.0,9
47,Sunrisers Hyderabad,Harshit Rana,4.0,0,27,1,6.75,11
47,Sunrisers Hyderabad,SN Thakur,3.0,0,23,2,7.67,6
47,Sunrisers Hyderabad,SP Narine,2.0,0,16,0,8.0,1
47,Sunrisers Hyderabad,VG Arora,3.0,0,32,2,10.67,5
53,Punjab Kings,AD Russell,1.0,0,19,0,19.0,1
53,Punjab Kings,CV Varun,4.0,0,26,3,6.5,11
53,Punjab Kings,Harshit Rana,3.0,0,33,2,11.0,6
53,Punjab Kings,N Rana,1.0,0,7,1,7.0,3
53,Punjab Kings,SP Narine,4.0,0,29,0,7.25,9
53,Punjab Kings,Suyash Sharma,4.0,0,26,1,6.5,11
53,Punjab Kings,VG Arora,3.0,0,32,0,10.67,8
56,Rajasthan Royals,AS Roy,1.0,0,20,0,20.0,1
56,Rajasthan Royals,CV Varun,3.0,0,28,0,9.33,10
56,Rajasthan Royals,Harshit Rana,2.0,0,22,0,11.0,5
56,Rajasthan Royals,N Rana,1.0,0,26,0,26.0,0
56,Rajasthan Royals,SN Thakur,1.1,0,18,0,15.43,1
56,Rajasthan Royals,SP Narine,2.0,0,13,0,6.5,5
56,Rajasthan Royals,Suyash Sharma,3.0,0,22,0,7.33,6
61,Chennai Super Kings,CV Varun,4.0,0,36,2,9.0,5
61,Chennai Super Kings,Harshit Rana,2.0,0,19,0,9.5,5
61,Chennai Super Kings,SN Thakur,3.0,0,15,1,5.0,7
