innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Kolkata Knight Riders,PD Salt,54,40,3,3,135.0,c M Jansen b M Markande,1
1,Kolkata Knight Riders,SP Narine,2,4,0,0,50.0,run out (Shahbaz Ahmed),2
1,Kolkata Knight Riders,VR Iyer,7,5,1,0,140.0,c M Jansen b T Natarajan,3
1,Kolkata Knight Riders,SS Iyer,0,2,0,0,0.0,c PJ Cummins b T Natarajan,4
1,Kolkata Knight Riders,N Rana,9,11,1,0,81.82,c RA Tripathi b M Markande,5
1,Kolkata Knight Riders,Ramandeep Singh,35,17,1,4,205.88,c M Markande b PJ Cummins,6
1,Kolkata Knight Riders,RK Singh,23,15,3,0,153.33,c AK Markram b T Natarajan,7
1,Kolkata Knight Riders,AD Russell,64,25,3,7,256.0,not out,8
1,Kolkata Knight Riders,MA Starc,6,3,1,0,200.0,not out,9
2,Sunrisers Hyderabad,MA Agarwal,32,21,4,1,152.38,c RK Singh b Harshit Rana,1
2,Sunrisers Hyderabad,Abhishek Sharma,32,19,4,2,168.42,c CV Varun b AD Russell,2
2,Sunrisers Hyderabad,RA Tripathi,20,20,0,1,100.0,c Harshit Rana b SP Narine,3
2,Sunrisers Hyderabad,AK Markram,18,13,2,0,138.46,c RK Singh b CV Varun,4
2,Sunrisers Hyderabad,H Klaasen,63,29,0,8,217.24,c Suyash Sharma b Harshit Rana,5
2,Sunrisers Hyderabad,Abdul Samad,15,11,1,1,136.36,c VR Iyer b AD Russell,6
2,Sunrisers Hyderabad,Shahbaz Ahmed,16,5,1,2,320.0,c SS Iyer b Harshit Rana,7
2,Sunrisers Hyderabad,M Jansen,1,1,0,0,100.0,not out,8
2,Sunrisers Hyderabad,PJ Cummins,0,1,0,0,0.0,not out,9
