innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Delhi Capitals,A Nortje,4.0,0,48,1,12.0,6,0,0
1,Delhi Capitals,AR Patel,4.0,0,21,1,5.25,6,0,0
1,Delhi Capitals,KK Ahmed,4.0,0,24,1,6.0,14,2,0
1,Delhi Capitals,Kuldeep Yadav,4.0,0,41,1,10.25,5,2,0
1,Delhi Capitals,Mukesh Kumar,4.0,0,49,1,12.25,8,1,0
2,Rajasthan Royals,Avesh Khan,4.0,0,29,1,7.25,8,1,0
2,Rajasthan Royals,N Burger,3.0,0,29,2,9.67,8,0,0
2,Rajasthan Royals,R Ashwin,3.0,0,30,0,10.0,4,1,0
2,Rajasthan Royals,Sandeep Sharma,4.0,0,36,0,9.0,3,2,0
2,Rajasthan Royals,TA Boult,3.0,0,29,0,9.67,8,0,0
2,Rajasthan Royals,YS Chahal,3.0,0,19,2,6.33,7,0,0
