innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Royal Challengers Bengaluru,LH Ferguson,4.0,0,52,2,13.0,6,0,0
1,Royal Challengers Bengaluru,MK Lomror,1.0,0,18,0,18.0,1,3,0
1,Royal Challengers Bengaluru,RJW Topley,4.0,0,68,1,17.0,3,2,0
1,Royal Challengers Bengaluru,Vijaykumar Vyshak,4.0,0,64,0,16.0,2,2,0
1,Royal Challengers Bengaluru,WG Jacks,3.0,0,32,0,10.67,5,1,0
1,Royal Challengers Bengaluru,Yash Dayal,4.0,0,51,0,12.75,5,3,1
2,Sunrisers Hyderabad,Abhishek Sharma,1.0,0,10,0,10.0,2,0,0
2,Sunrisers Hyderabad,B Kumar,4.0,0,60,0,15.0,5,4,0
2,Sunrisers Hyderabad,JD Unadkat,2.0,0,37,0,18.5,1,1,0
2,Sunrisers Hyderabad,M Markande,4.0,0,46,2,11.5,5,3,0
2,Sunrisers Hyderabad,PJ Cummins,4.0,0,43,3,10.75,10,1,0
2,Sunrisers Hyderabad,Shahbaz Ahmed,1.0,0,18,0,18.0,1,0,0
2,Sunrisers Hyderabad,T Natarajan,4.0,0,47,1,11.75,5,4,0
