innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Punjab Kings,1,SM Curran,15,13,P Simran Singh,35,21,52,33
1,Punjab Kings,2,RR Rossouw,9,7,SM Curran,2,2,11,9
1,Punjab Kings,3,SM Curran,3,4,JM Sharma,1,1,4,5
1,Punjab Kings,4,LS Livingstone,6,9,JM Sharma,5,6,11,15
1,Punjab Kings,5,Shashank Singh,1,3,JM Sharma,7,5,8,8
1,Punjab Kings,6,Ashutosh Sharma,3,8,Shashank Singh,3,5,6,13
1,Punjab Kings,7,Harpreet Singh,3,5,Shashank Singh,4,4,7,9
1,Punjab Kings,8,Harpreet Brar,29,12,Harpreet Singh,9,10,40,22
1,Punjab Kings,9,Harpreet Singh,1,1,HV Patel,0,1,1,2
1,Punjab Kings,10,K Rabada,1,1,Harpreet Singh,1,3,2,4
2,Gujarat Titans,1,WP Saha,13,11,Shubman Gill,12,11,25,22
2,Gujarat Titans,2,B Sai Sudharsan,16,17,Shubman Gill,23,18,41,35
2,Gujarat Titans,3,DA Miller,4,6,B Sai Sudharsan,6,8,11,14
2,Gujarat Titans,4,Azmatullah Omarzai,11,8,B Sai Sudharsan,9,9,20,17
2,Gujarat Titans,5,R Tewatia,4,2,Azmatullah Omarzai,2,2,6,4
2,Gujarat Titans,6,M Shahrukh Khan,8,4,R Tewatia,27,13,35,17
2,Gujarat Titans,7,Rashid Khan,3,3,R Tewatia,1,2,4,5
2,Gujarat Titans,8,R Tewatia,4,1,R Sai Kishore,0,0,4,1
