innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Sunrisers Hyderabad,Abhishek Sharma,1.0,0,10,0,10.0,0,0,0
1,Sunrisers Hyderabad,B Kumar,1.0,0,14,0,14.0,1,0,0
1,Sunrisers Hyderabad,JD Unadkat,4.0,0,30,3,7.5,4,2,0
1,Sunrisers Hyderabad,M Markande,3.0,0,42,1,14.0,2,1,0
1,Sunrisers Hyderabad,PJ Cummins,4.0,0,55,1,13.75,1,1,0
1,Sunrisers Hyderabad,Shahbaz Ahmed,3.0,0,14,0,4.67,7,0,0
1,Sunrisers Hyderabad,T Natarajan,4.0,0,39,2,9.75,6,1,0
2,Royal Challengers Bengaluru,C Green,2.0,0,12,2,6.0,7,1,0
2,Royal Challengers Bengaluru,KV Sharma,4.0,0,29,2,7.25,10,2,0
2,Royal Challengers Bengaluru,LH Ferguson,2.0,0,28,0,14.0,2,0,0
2,Royal Challengers Bengaluru,Mohammed Siraj,4.0,0,20,0,5.0,10,2,0
2,Royal Challengers Bengaluru,Swapnil Singh,3.0,0,40,2,13.33,3,0,1
2,Royal Challengers Bengaluru,WG Jacks,2.0,0,23,1,11.5,3,0,0
2,Royal Challengers Bengaluru,Yash Dayal,3.0,0,18,1,6.0,8,3,0
