innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Kolkata Knight Riders,PD Salt,75,37,6,6,202.7,b SM Curran,1
1,Kolkata Knight Riders,SP Narine,71,32,9,4,221.88,c JM Bairstow b RD Chahar,2
1,Kolkata Knight Riders,VR Iyer,39,23,3,2,169.57,run out (JM Sharma),3
1,Kolkata Knight Riders,AD Russell,24,12,2,2,200.0,c HV Patel b Arshdeep Singh,4
1,Kolkata Knight Riders,SS Iyer,28,10,1,3,280.0,c K Rabada b Arshdeep Singh,5
1,Kolkata Knight Riders,RK Singh,5,4,1,0,125.0,c Ashutosh Sharma b HV Patel,6
1,Kolkata Knight Riders,Ramandeep Singh,6,3,0,1,200.0,not out,7
2,Punjab Kings,P Simran Singh,54,20,4,5,270.0,run out (SP Narine),1
2,Punjab Kings,JM Bairstow,108,48,8,9,225.0,not out,2
2,Punjab Kings,RR Rossouw,26,16,1,2,162.5,c SS Iyer b SP Narine,3
2,Punjab Kings,Shashank Singh,68,28,2,8,242.86,not out,4
