innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Lucknow Super Giants,1,1,Q de Kock,TA Boult,KL Rahul,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,1,2,Q de Kock,TA Boult,KL Rahul,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,1,3,Q de Kock,TA Boult,KL Rahul,0,0,0,,0,0,0,0,0,True,bowled,Q de Kock,,powerplay
1,Lucknow Super Giants,1,4,MP Stoinis,TA Boult,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,1,5,MP Stoinis,TA Boult,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,1,6,MP Stoinis,TA Boult,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,2,1,KL Rahul,Sandeep Sharma,MP Stoinis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,2,2,KL Rahul,Sandeep Sharma,MP Stoinis,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,2,3,KL Rahul,Sandeep Sharma,MP Stoinis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,2,4,KL Rahul,Sandeep Sharma,MP Stoinis,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,2,5,KL Rahul,Sandeep Sharma,MP Stoinis,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,2,6,MP Stoinis,Sandeep Sharma,KL Rahul,0,0,0,,0,0,0,0,0,True,bowled,MP Stoinis,,powerplay
1,Lucknow Super Giants,3,1,KL Rahul,TA Boult,DJ Hooda,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,3,2,KL Rahul,TA Boult,DJ Hooda,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,3,3,KL Rahul,TA Boult,DJ Hooda,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,3,4,DJ Hooda,TA Boult,KL Rahul,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,3,5,DJ Hooda,TA Boult,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,3,6,DJ Hooda,TA Boult,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,4,1,KL Rahul,Avesh Khan,DJ Hooda,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,4,2,DJ Hooda,Avesh Khan,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,4,3,DJ Hooda,Avesh Khan,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,4,4,KL Rahul,Avesh Khan,DJ Hooda,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,4,5,DJ Hooda,Avesh Khan,KL Rahul,3,0,3,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,4,6,KL Rahul,Avesh Khan,DJ Hooda,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,5,1,DJ Hooda,R Ashwin,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,5,2,KL Rahul,R Ashwin,DJ Hooda,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,5,3,KL Rahul,R Ashwin,DJ Hooda,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,5,4,KL Rahul,R Ashwin,DJ Hooda,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,5,5,KL Rahul,R Ashwin,DJ Hooda,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,5,6,DJ Hooda,R Ashwin,KL Rahul,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,6,1,KL Rahul,Sandeep Sharma,DJ Hooda,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,6,2,KL Rahul,Sandeep Sharma,DJ Hooda,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Lucknow Super Giants,6,3,KL Rahul,Sandeep Sharma,DJ Hooda,1,0,1,,0,0,0,0,0,False,,,,powerplay
