innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Rajasthan Royals,Avesh Khan,4.0,0,42,1,10.5,6,1,1
1,Rajasthan Royals,R Ashwin,4.0,0,39,1,9.75,5,2,0
1,Rajasthan Royals,Sandeep Sharma,4.0,0,31,2,7.75,7,1,0
1,Rajasthan Royals,TA Boult,4.0,0,41,1,10.25,9,2,0
1,Rajasthan Royals,YS Chahal,4.0,0,41,0,10.25,3,1,0
2,Lucknow Super Giants,A Mishra,2.0,0,20,1,10.0,5,0,0
2,Lucknow Super Giants,KH Pandya,4.0,0,24,0,6.0,5,0,0
2,Lucknow Super Giants,MJ Henry,3.0,0,32,0,10.67,5,0,0
2,Lucknow Super Giants,MP Stoinis,1.0,0,3,1,3.0,3,0,0
2,Lucknow Super Giants,Mohsin Khan,4.0,0,52,0,13.0,5,0,0
2,Lucknow Super Giants,Ravi Bishnoi,1.0,0,16,0,16.0,1,0,0
2,Lucknow Super Giants,Yash Thakur,4.0,0,50,1,12.5,4,2,0
