innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,RG Sharma,7,2.3
1,Mumbai Indians,2,SA Yadav,18,3.4
1,Mumbai Indians,3,Tilak Varma,27,6.1
1,Mumbai Indians,4,HH Pandya,27,6.2
1,Mumbai Indians,5,Ishan Kishan,80,14.6
1,Mumbai Indians,6,N Wadhera,112,18.1
1,Mumbai Indians,7,Mohammad Nabi,123,19.1
2,Lucknow Super Giants,1,AA Kulkarni,1,1.4
2,Lucknow Super Giants,2,KL Rahul,59,8.2
2,Lucknow Super Giants,3,DJ Hooda,99,14.1
2,Lucknow Super Giants,4,MP Stoinis,115,15.5
2,Lucknow Super Giants,5,AJ Turner,123,18.1
2,Lucknow Super Giants,6,A Badoni,133,19.1
