innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Chennai Super Kings,AM Rahane,29,24,5,0,120.83,c RR Rossouw b Harpreet Brar,1
1,Chennai Super Kings,RD Gaikwad,62,48,5,2,129.17,b Arshdeep Singh,2
1,Chennai Super Kings,S Dube,0,1,0,0,0.0,lbw b Harpreet Brar,3
1,Chennai Super Kings,RA Jadeja,2,4,0,0,50.0,lbw b RD Chahar,4
1,Chennai Super Kings,Sameer Rizvi,21,23,1,0,91.3,c HV Patel b K Rabada,5
1,Chennai Super Kings,MM Ali,15,9,1,1,166.67,b RD Chahar,6
1,Chennai Super Kings,MS Dhoni,14,11,1,1,127.27,"run out (JM Sharma, HV Patel)",7
1,Chennai Super Kings,DJ Mitchell,1,1,0,0,100.0,not out,8
2,Punjab Kings,P Simran Singh,13,10,1,1,130.0,c RD Gaikwad b RJ Gleeson,1
2,Punjab Kings,JM Bairstow,46,30,7,1,153.33,c MS Dhoni b S Dube,2
2,Punjab Kings,RR Rossouw,43,23,5,2,186.96,b SN Thakur,3
2,Punjab Kings,Shashank Singh,25,26,1,1,96.15,not out,4
2,Punjab Kings,SM Curran,26,20,3,0,130.0,not out,5
