innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Gujarat Titans,1,1,WP Saha,Swapnil Singh,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,2,WP Saha,Swapnil Singh,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,3,WP Saha,Swapnil Singh,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,4,WP Saha,Swapnil Singh,Shubman Gill,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,5,Shubman Gill,Swapnil Singh,WP Saha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,6,Shubman Gill,Swapnil Singh,WP Saha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,1,WP Saha,Mohammed Siraj,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,2,WP Saha,Mohammed Siraj,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,3,WP Saha,Mohammed Siraj,Shubman Gill,0,0,0,,0,0,0,0,0,True,caught,WP Saha,KD Karthik,powerplay
1,Gujarat Titans,2,4,B Sai Sudharsan,Mohammed Siraj,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,5,B Sai Sudharsan,Mohammed Siraj,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,6.wides,B Sai Sudharsan,Mohammed Siraj,Shubman Gill,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,6,B Sai Sudharsan,Mohammed Siraj,Shubman Gill,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,1,B Sai Sudharsan,Yash Dayal,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,2,B Sai Sudharsan,Yash Dayal,Shubman Gill,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,3,B Sai Sudharsan,Yash Dayal,Shubman Gill,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,4,B Sai Sudharsan,Yash Dayal,Shubman Gill,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,5,Shubman Gill,Yash Dayal,B Sai Sudharsan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,6,Shubman Gill,Yash Dayal,B Sai Sudharsan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,1.wides,Shubman Gill,Mohammed Siraj,B Sai Sudharsan,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,1,Shubman Gill,Mohammed Siraj,B Sai Sudharsan,1,0,1,,0,0,0,0,0,False,,,,powerplay
