innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Gujarat Titans,B Sai Sudharsan,103,51,5,8,201.96,c S Dube b TU Deshpande,1
1,Gujarat Titans,Shubman Gill,104,55,9,6,189.09,c RA Jadeja b TU Deshpande,2
1,Gujarat Titans,DA Miller,16,11,1,0,145.45,not out,3
1,Gujarat Titans,M Shahrukh Khan,2,3,0,0,66.67,"run out (R Ravindra, Simarjeet Singh)",4
2,Chennai Super Kings,AM Rahane,1,5,0,0,20.0,c R Tewatia b S Sandeep Warrier,1
2,Chennai Super Kings,R Ravindra,1,2,0,0,50.0,run out (DA Miller),2
2,Chennai Super Kings,RD Gaikwad,0,3,0,0,0.0,c Rashid Khan b UT Yadav,3
2,Chennai Super Kings,DJ Mitchell,63,34,7,3,185.29,c M Shahrukh Khan b MM Sharma,4
2,Chennai Super Kings,MM Ali,56,36,4,4,155.56,c Noor Ahmad b MM Sharma,5
2,Chennai Super Kings,S Dube,21,13,2,1,161.54,c Noor Ahmad b MM Sharma,6
2,Chennai Super Kings,RA Jadeja,18,10,2,1,180.0,c DA Miller b Rashid Khan,7
2,Chennai Super Kings,MS Dhoni,26,11,1,3,236.36,not out,8
2,Chennai Super Kings,MJ Santner,0,2,0,0,0.0,b Rashid Khan,9
2,Chennai Super Kings,SN Thakur,3,4,0,0,75.0,not out,10
