match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2024-03-23,Kolkata Knight Riders,"Eden Gardens, Kolkata",63,29,0,8,217.24,c Suyash Sharma b Harshit Rana,5
8,2024-03-27,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",80,34,4,7,235.29,not out,5
12,2024-03-31,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",24,13,1,2,184.62,b Rashid Khan,5
18,2024-04-05,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",10,11,1,0,90.91,not out,5
23,2024-04-09,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",9,9,1,0,100.0,c SM Curran b HV Patel,6
30,2024-04-15,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",67,31,2,7,216.13,c Vijaykumar Vyshak b LH Ferguson,3
35,2024-04-20,Delhi Capitals,"Arun Jaitley Stadium, Delhi",15,8,0,2,187.5,b AR Patel,4
41,2024-04-25,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",7,3,0,1,233.33,c C Green b Swapnil Singh,5
46,2024-04-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",20,21,0,1,95.24,c DJ Mitchell b M Pathirana,6
50,2024-05-02,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",42,19,3,3,221.05,not out,5
55,2024-05-06,Mumbai Indians,"Wankhede Stadium, Mumbai",2,4,0,0,50.0,b PP Chawla,5
69,2024-05-19,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",42,26,3,2,161.54,b Harpreet Brar,5
70,2024-05-21,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",32,21,3,1,152.38,c RK Singh b CV Varun,6
72,2024-05-24,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",50,34,0,4,147.06,b Sandeep Sharma,5
73,2024-05-26,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",16,17,1,0,94.12,b Harshit Rana,6
