match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2024-03-23,Delhi Capitals,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",3.0,0,14,1,4.67,7,0,0
6,2024-03-25,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",4.0,0,13,2,3.25,9,0,0
11,2024-03-30,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2.0,0,14,0,7.0,4,0,0
17,2024-04-04,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4.0,0,33,1,8.25,10,0,0
23,2024-04-09,Sunrisers Hyderabad,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4.0,0,48,0,12.0,6,0,0
27,2024-04-13,Rajasthan Royals,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",3.0,0,22,0,7.33,2,0,0
33,2024-04-18,Mumbai Indians,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",3.0,0,21,0,7.0,3,0,0
37,2024-04-21,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4.0,0,35,0,8.75,7,0,0
42,2024-04-26,Kolkata Knight Riders,"Eden Gardens, Kolkata",2.0,0,21,0,10.5,3,0,0
49,2024-05-01,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,17,2,4.25,10,1,0
53,2024-05-05,Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1.0,0,19,0,19.0,1,0,0
65,2024-05-15,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",1.0,0,10,0,10.0,1,0,0
69,2024-05-19,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3.0,0,36,1,12.0,6,1,0
