match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
4,2024-03-24,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",4.0,0,19,0,4.75,5,0,0
11,2024-03-30,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3.0,0,26,0,8.67,5,0,0
15,2024-04-02,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",1.0,0,10,0,10.0,0,0,0
21,2024-04-07,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4.0,0,11,3,2.75,13,0,0
26,2024-04-12,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3.0,0,45,0,15.0,3,3,0
28,2024-04-14,Kolkata Knight Riders,"Eden Gardens, Kolkata",1.0,0,14,0,14.0,1,0,0
34,2024-04-19,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3.0,0,16,2,5.33,6,0,0
39,2024-04-23,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,0,15,0,7.5,2,0,0
44,2024-04-27,Rajasthan Royals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4.0,0,24,0,6.0,5,0,0
54,2024-05-05,Kolkata Knight Riders,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2.0,0,26,0,13.0,2,2,0
64,2024-05-14,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2.0,0,20,0,10.0,3,1,0
67,2024-05-17,Mumbai Indians,"Wankhede Stadium, Mumbai",4.0,0,29,1,7.25,10,1,0
