match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
4,2024-03-24,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",4.0,0,35,1,8.75,4,1,0
9,2024-03-28,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",3.0,0,30,0,10.0,4,1,0
14,2024-04-01,Mumbai Indians,"Wankhede Stadium, Mumbai",4.0,0,27,0,6.75,6,1,0
19,2024-04-06,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",4.0,0,28,0,7.0,5,1,0
24,2024-04-10,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",4.0,0,40,0,10.0,3,0,0
31,2024-04-16,Kolkata Knight Riders,"Eden Gardens, Kolkata",4.0,0,49,0,12.25,8,5,0
38,2024-04-22,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",4.0,0,31,0,7.75,4,1,0
44,2024-04-27,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4.0,0,39,1,9.75,5,2,0
50,2024-05-02,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,0,36,0,9.0,10,1,0
56,2024-05-07,Delhi Capitals,"Arun Jaitley Stadium, Delhi",4.0,0,24,3,6.0,6,0,0
61,2024-05-12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,35,2,8.75,8,1,0
65,2024-05-15,Punjab Kings,"Barsapara Cricket Stadium, Guwahati",4.0,0,31,0,7.75,11,0,0
71,2024-05-22,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",4.0,0,19,2,4.75,9,2,0
72,2024-05-24,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,43,0,10.75,4,0,0
