innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Rajasthan Royals,Fazalhaq Farooqi,3.0,0,49,0,16.33,3,0,0
1,Rajasthan Royals,JC Archer,4.0,0,76,0,19.0,1,2,1
1,Rajasthan Royals,M Theekshana,4.0,0,52,2,13.0,8,3,2
1,Rajasthan Royals,N Rana,1.0,0,9,0,9.0,0,0,0
1,Rajasthan Royals,Sandeep Sharma,4.0,0,51,1,12.75,5,0,0
1,Rajasthan Royals,TU Deshpande,4.0,0,44,3,11.0,7,5,0
2,Sunrisers Hyderabad,A Zampa,4.0,0,48,1,12.0,7,1,0
2,Sunrisers Hyderabad,Abhishek Sharma,2.0,0,17,0,8.5,6,0,0
2,Sunrisers Hyderabad,HV Patel,4.0,0,34,2,8.5,7,2,0
2,Sunrisers Hyderabad,Mohammed Shami,3.0,0,33,1,11.0,8,1,0
2,Sunrisers Hyderabad,PJ Cummins,4.0,0,60,0,15.0,4,1,1
2,Sunrisers Hyderabad,Simarjeet Singh,3.0,0,46,2,15.33,7,2,1
