innings,team,wicket_number,player_out,score,over
1,Sunrisers Hyderabad,1,Abhishek Sharma,45,4.1
1,Sunrisers Hyderabad,2,TM Head,130,10.3
1,Sunrisers Hyderabad,3,Nithish Kumar Reddy,202,15.2
1,Sunrisers Hyderabad,4,H Klaasen,258,19.2
1,Sunrisers Hyderabad,5,Aniket Verma,279,20.2
1,Sunrisers Hyderabad,6,A Manohar,279,20.3
2,Rajasthan Royals,1,YBK Jaiswal,20,2.3
2,Rajasthan Royals,2,R Parag,24,2.5
2,Rajasthan Royals,3,N Rana,50,5.1
2,Rajasthan Royals,4,SV Samson,161,14.6
2,Rajasthan Royals,5,Dhruv Jurel,161,15.2
2,Rajasthan Royals,6,SO Hetmyer,241,20.5
