innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,RG Sharma,0,1.4
1,Mumbai Indians,2,RD Rickelton,21,3.2
1,Mumbai Indians,3,WG Jacks,36,5.4
1,Mumbai Indians,4,SA Yadav,87,11.3
1,Mumbai Indians,5,R Minz,95,13.4
1,Mumbai Indians,6,Tilak Varma,96,13.6
1,Mumbai Indians,7,Naman Dhir,118,17.1
1,Mumbai Indians,8,MJ Santner,128,18.6
1,Mumbai Indians,9,TA Boult,141,19.6
2,Chennai Super Kings,1,RA Tripathi,11,2.4
2,Chennai Super Kings,2,RD Gaikwad,78,8.5
2,Chennai Super Kings,3,S Dube,95,10.4
2,Chennai Super Kings,4,DJ Hooda,107,12.4
2,Chennai Super Kings,5,SM Curran,116,15.1
2,Chennai Super Kings,6,RA Jadeja,152,19.4
