innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Sunrisers Hyderabad,Abhishek Sharma,1,1,0,0,100.0,run out (V Nigam),1
1,Sunrisers Hyderabad,TM Head,22,12,4,0,183.33,c KL Rahul b MA Starc,2
1,Sunrisers Hyderabad,Ishan Kishan,2,5,0,0,40.0,c T Stubbs b MA Starc,3
1,Sunrisers Hyderabad,Nithish Kumar Reddy,0,2,0,0,0.0,c AR Patel b MA Starc,4
1,Sunrisers Hyderabad,Aniket Verma,74,41,5,6,180.49,c J Fraser-McGurk b Kuldeep Yadav,5
1,Sunrisers Hyderabad,H Klaasen,32,19,2,2,168.42,c V Nigam b MM Sharma,6
1,Sunrisers Hyderabad,A Manohar,4,6,0,0,66.67,c F du Plessis b Kuldeep Yadav,7
1,Sunrisers Hyderabad,PJ Cummins,2,7,0,0,28.57,c J Fraser-McGurk b Kuldeep Yadav,8
1,Sunrisers Hyderabad,PWA Mulder,9,11,1,0,81.82,c F du Plessis b MA Starc,9
1,Sunrisers Hyderabad,HV Patel,5,9,0,0,55.56,c AR Patel b MA Starc,10
1,Sunrisers Hyderabad,Mohammed Shami,1,1,0,0,100.0,not out,11
2,Delhi Capitals,J Fraser-McGurk,38,32,4,2,118.75,c & b Zeeshan Ansari,1
2,Delhi Capitals,F du Plessis,50,27,3,3,185.19,c PWA Mulder b Zeeshan Ansari,2
2,Delhi Capitals,Abishek Porel,34,18,2,2,188.89,not out,3
2,Delhi Capitals,KL Rahul,15,5,2,1,300.0,b Zeeshan Ansari,4
2,Delhi Capitals,T Stubbs,21,14,3,0,150.0,not out,5
