innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Kolkata Knight Riders,Q de Kock,1,3,0,0,33.33,c Ashwani Kumar b DL Chahar,1
1,Kolkata Knight Riders,SP Narine,0,2,0,0,0.0,b TA Boult,2
1,Kolkata Knight Riders,AM Rahane,11,7,1,1,157.14,c Tilak Varma b Ashwani Kumar,3
1,Kolkata Knight Riders,A Raghuvanshi,26,16,3,1,162.5,c Naman Dhir b HH Pandya,4
1,Kolkata Knight Riders,VR Iyer,3,9,0,0,33.33,c RD Rickelton b DL Chahar,5
1,Kolkata Knight Riders,RK Singh,17,14,1,1,121.43,c Naman Dhir b Ashwani Kumar,6
1,Kolkata Knight Riders,MK Pandey,19,14,2,1,135.71,b Ashwani Kumar,7
1,Kolkata Knight Riders,AD Russell,5,11,1,0,45.45,b Ashwani Kumar,8
1,Kolkata Knight Riders,Ramandeep Singh,22,12,1,2,183.33,c HH Pandya b MJ Santner,9
1,Kolkata Knight Riders,Harshit Rana,4,8,0,0,50.0,c Naman Dhir b V Puthur,10
1,Kolkata Knight Riders,SH Johnson,1,3,0,0,33.33,not out,11
2,Mumbai Indians,RG Sharma,13,12,0,1,108.33,c Harshit Rana b AD Russell,1
2,Mumbai Indians,RD Rickelton,62,41,4,5,151.22,not out,2
2,Mumbai Indians,WG Jacks,16,17,0,1,94.12,c AM Rahane b AD Russell,3
2,Mumbai Indians,SA Yadav,27,9,3,2,300.0,not out,4
