innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Chennai Super Kings,KK Ahmed,4.0,0,25,2,6.25,9,0,0
1,Chennai Super Kings,M Pathirana,4.0,0,31,1,7.75,4,2,0
1,Chennai Super Kings,Mukesh Choudhary,4.0,0,50,0,12.5,6,0,0
1,Chennai Super Kings,Noor Ahmad,3.0,0,36,1,12.0,2,0,0
1,Chennai Super Kings,R Ashwin,3.0,0,21,0,7.0,4,0,0
1,Chennai Super Kings,RA Jadeja,2.0,0,19,1,9.5,4,1,0
2,Delhi Capitals,AR Patel,1.0,0,5,0,5.0,1,0,0
2,Delhi Capitals,Kuldeep Yadav,4.0,0,30,1,7.5,4,0,0
2,Delhi Capitals,MA Starc,4.0,0,27,1,6.75,11,2,1
2,Delhi Capitals,MM Sharma,3.0,0,27,0,9.0,3,3,1
2,Delhi Capitals,Mukesh Kumar,4.0,0,36,1,9.0,3,1,0
2,Delhi Capitals,V Nigam,4.0,0,27,2,6.75,9,0,0
