innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Royal Challengers Bengaluru,PD Salt,37,17,4,3,217.65,"run out (KL Rahul, V Nigam)",1
1,Royal Challengers Bengaluru,V Kohli,22,14,1,2,157.14,c MA Starc b V Nigam,2
1,Royal Challengers Bengaluru,D Padikkal,1,8,0,0,12.5,c AR Patel b Mukesh Kumar,3
1,Royal Challengers Bengaluru,RM Patidar,25,23,1,1,108.7,c KL Rahul b Kuldeep Yadav,4
1,Royal Challengers Bengaluru,LS Livingstone,4,6,0,0,66.67,c Ashutosh Sharma b MM Sharma,5
1,Royal Challengers Bengaluru,JM Sharma,3,11,0,0,27.27,c KL Rahul b Kuldeep Yadav,6
1,Royal Challengers Bengaluru,KH Pandya,18,18,1,0,100.0,c Ashutosh Sharma b V Nigam,7
1,Royal Challengers Bengaluru,TH David,37,20,2,4,185.0,not out,8
1,Royal Challengers Bengaluru,B Kumar,1,4,0,0,25.0,not out,9
2,Delhi Capitals,F du Plessis,2,7,0,0,28.57,c RM Patidar b Yash Dayal,1
2,Delhi Capitals,J Fraser-McGurk,7,6,1,0,116.67,c JM Sharma b B Kumar,2
2,Delhi Capitals,Abishek Porel,7,7,1,0,100.0,c JM Sharma b B Kumar,3
2,Delhi Capitals,KL Rahul,93,53,7,6,175.47,not out,4
2,Delhi Capitals,AR Patel,15,11,2,0,136.36,c TH David b Suyash Sharma,5
2,Delhi Capitals,T Stubbs,38,23,4,1,165.22,not out,6
