innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Mumbai Indians,1,RG Sharma,18,12,RD Rickelton,28,18,47,30
1,Mumbai Indians,2,RD Rickelton,13,7,SA Yadav,12,9,28,16
1,Mumbai Indians,3,Tilak Varma,30,14,SA Yadav,28,19,60,33
1,Mumbai Indians,4,HH Pandya,2,4,Tilak Varma,1,2,3,6
1,Mumbai Indians,5,Naman Dhir,34,16,Tilak Varma,28,17,62,33
1,Mumbai Indians,6,WG Jacks,1,1,Naman Dhir,4,1,5,2
2,Delhi Capitals,1,J Fraser-McGurk,0,1,Abishek Porel,0,0,0,1
2,Delhi Capitals,2,KK Nair,77,36,Abishek Porel,33,25,119,61
2,Delhi Capitals,3,KL Rahul,4,4,KK Nair,12,4,16,8
2,Delhi Capitals,4,AR Patel,9,6,KL Rahul,0,0,9,6
2,Delhi Capitals,5,T Stubbs,1,4,KL Rahul,0,1,1,5
2,Delhi Capitals,6,Ashutosh Sharma,4,4,KL Rahul,11,8,15,12
2,Delhi Capitals,7,V Nigam,14,8,Ashutosh Sharma,3,5,20,13
2,Delhi Capitals,8,MA Starc,1,1,Ashutosh Sharma,10,5,12,6
2,Delhi Capitals,9,Kuldeep Yadav,1,1,MA Starc,0,0,1,1
2,Delhi Capitals,10,MM Sharma,0,1,MA Starc,0,0,0,1
