innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Delhi Capitals,1,1.wides,Abishek Porel,Mohammed Siraj,KK Nair,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,1.wides,Abishek Porel,Mohammed Siraj,KK Nair,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,1,Abishek Porel,Mohammed Siraj,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,2,Abishek Porel,Mohammed Siraj,KK Nair,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,3,Abishek Porel,Mohammed Siraj,KK Nair,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,4,Abishek Porel,Mohammed Siraj,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,5,Abishek Porel,Mohammed Siraj,KK Nair,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,6,Abishek Porel,Mohammed Siraj,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,1.wides,KK Nair,Arshad Khan,Abishek Porel,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,1.wides,KK Nair,Arshad Khan,Abishek Porel,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,1,KK Nair,Arshad Khan,Abishek Porel,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,2,Abishek Porel,Arshad Khan,KK Nair,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,3,Abishek Porel,Arshad Khan,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,4,Abishek Porel,Arshad Khan,KK Nair,0,0,0,,0,0,0,0,0,True,caught,Abishek Porel,Mohammed Siraj,powerplay
1,Delhi Capitals,2,5,KL Rahul,Arshad Khan,KK Nair,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,6,KK Nair,Arshad Khan,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,1,KL Rahul,Mohammed Siraj,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,2,KL Rahul,Mohammed Siraj,KK Nair,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,3,KL Rahul,Mohammed Siraj,KK Nair,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,4,KL Rahul,Mohammed Siraj,KK Nair,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,5,KK Nair,Mohammed Siraj,KL Rahul,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,6,KK Nair,Mohammed Siraj,KL Rahul,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,1,KL Rahul,Arshad Khan,KK Nair,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,2,KL Rahul,Arshad Khan,KK Nair,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,3,KK Nair,Arshad Khan,KL Rahul,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,4,KL Rahul,Arshad Khan,KK Nair,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,5,KL Rahul,Arshad Khan,KK Nair,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,6,KL Rahul,Arshad Khan,KK Nair,1,0,1,,0,0,0,0,0,False,,,,powerplay
