innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kolkata Knight Riders,AD Russell,1.0,0,13,1,13.0,2,0,0
1,Kolkata Knight Riders,CV Varun,4.0,0,33,0,8.25,7,0,0
1,Kolkata Knight Riders,Harshit Rana,4.0,0,45,1,11.25,5,2,0
1,Kolkata Knight Riders,MM Ali,3.0,0,27,0,9.0,6,0,0
1,Kolkata Knight Riders,SP Narine,4.0,0,36,0,9.0,4,0,1
1,Kolkata Knight Riders,VG Arora,4.0,0,44,1,11.0,7,1,0
2,Gujarat Titans,I Sharma,2.0,0,18,1,9.0,4,0,0
2,Gujarat Titans,M Prasidh Krishna,4.0,0,25,2,6.25,12,1,0
2,Gujarat Titans,Mohammed Siraj,4.0,0,32,1,8.0,11,1,0
2,Gujarat Titans,R Sai Kishore,3.0,0,19,1,6.33,4,2,0
2,Gujarat Titans,Rashid Khan,4.0,0,25,2,6.25,10,0,0
2,Gujarat Titans,Washington Sundar,3.0,0,36,1,12.0,2,1,0
