innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Lucknow Super Giants,1,AK Markram,52,33,MR Marsh,35,27,87,60
1,Lucknow Super Giants,2,MR Marsh,3,3,N Pooran,9,5,12,8
1,Lucknow Super Giants,3,Abdul Samad,2,8,MR Marsh,6,4,8,12
1,Lucknow Super Giants,4,DA Miller,2,2,MR Marsh,1,2,3,4
1,Lucknow Super Giants,5,DA Miller,12,13,A Badoni,36,21,49,34
1,Lucknow Super Giants,6,RR Pant,0,2,DA Miller,0,0,0,2
1,Lucknow Super Giants,7,RR Pant,0,2,DA Miller,0,0,0,2
2,Delhi Capitals,1,Abishek Porel,18,13,KK Nair,15,9,36,22
2,Delhi Capitals,2,KL Rahul,36,26,Abishek Porel,33,23,69,49
2,Delhi Capitals,3,AR Patel,34,20,KL Rahul,21,16,56,36
