innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Rajasthan Royals,Fazalhaq Farooqi,3.0,0,30,0,10.0,3,1,0
1,Rajasthan Royals,JC Archer,4.0,0,33,1,8.25,12,2,0
1,Rajasthan Royals,PWH de Silva,4.0,0,30,1,7.5,4,1,0
1,Rajasthan Royals,R Parag,3.0,0,30,0,10.0,5,0,0
1,Rajasthan Royals,Sandeep Sharma,4.0,0,45,2,11.25,5,4,0
1,Rajasthan Royals,TU Deshpande,2.0,0,36,0,18.0,2,2,0
2,Royal Challengers Bengaluru,B Kumar,4.0,0,50,1,12.5,11,0,0
2,Royal Challengers Bengaluru,JR Hazlewood,4.0,0,33,4,8.25,15,1,0
2,Royal Challengers Bengaluru,KH Pandya,4.0,0,31,2,7.75,8,1,0
2,Royal Challengers Bengaluru,R Shepherd,1.0,0,15,0,15.0,2,0,0
2,Royal Challengers Bengaluru,Suyash Sharma,4.0,0,31,0,7.75,8,0,0
2,Royal Challengers Bengaluru,Yash Dayal,3.0,0,33,1,11.0,4,1,0
