innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,RD Rickelton,116,12.5
1,Mumbai Indians,2,RG Sharma,123,13.4
2,Rajasthan Royals,1,V Suryavanshi,1,1.4
2,Rajasthan Royals,2,YBK Jaiswal,18,2.4
2,Rajasthan Royals,3,N Rana,41,4.6
2,Rajasthan Royals,4,R Parag,47,5.4
2,Rajasthan Royals,5,SO Hetmyer,47,5.5
2,Rajasthan Royals,6,SB Dubey,64,8.1
2,Rajasthan Royals,7,Dhruv Jurel,76,9.6
2,Rajasthan Royals,8,M Theekshana,87,12.1
2,Rajasthan Royals,9,K Kartikeya,91,12.5
2,Rajasthan Royals,10,JC Archer,117,17.1
