innings,team,wicket_number,player_out,score,over
1,Punjab Kings,1,Priyansh Arya,2,1.5
1,Punjab Kings,2,JP Inglis,50,5.3
1,Punjab Kings,3,SS Iyer,128,13.2
1,Punjab Kings,4,N Wadhera,162,16.2
1,Punjab Kings,5,P Simran Singh,216,19.5
2,Lucknow Super Giants,1,MR Marsh,15,3.2
2,Lucknow Super Giants,2,AK Markram,16,3.5
2,Lucknow Super Giants,3,N Pooran,27,5.2
2,Lucknow Super Giants,4,RR Pant,58,8.5
2,Lucknow Super Giants,5,DA Miller,73,10.5
2,Lucknow Super Giants,6,Abdul Samad,154,17.4
2,Lucknow Super Giants,7,A Badoni,188,20.1
