innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Chennai Super Kings,A Kamboj,3.0,0,38,1,12.67,4,0,0
1,Chennai Super Kings,KK Ahmed,2.0,0,14,0,7.0,7,1,0
1,Chennai Super Kings,M Pathirana,4.0,0,39,0,9.75,2,0,0
1,Chennai Super Kings,Noor Ahmad,4.0,0,31,4,7.75,8,1,0
1,Chennai Super Kings,R Ashwin,3.0,0,19,0,6.33,10,0,0
1,Chennai Super Kings,RA Jadeja,4.0,0,34,1,8.5,8,0,0
2,Kolkata Knight Riders,AD Russell,2.4,0,22,0,8.25,5,0,0
2,Kolkata Knight Riders,CV Varun,4.0,0,18,2,4.5,12,1,0
2,Kolkata Knight Riders,Harshit Rana,4.0,0,43,2,10.75,8,1,0
2,Kolkata Knight Riders,MM Ali,2.0,0,23,1,11.5,3,0,0
2,Kolkata Knight Riders,SP Narine,4.0,0,28,0,7.0,9,0,0
2,Kolkata Knight Riders,VG Arora,3.0,0,48,3,16.0,7,2,0
