innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Chennai Super Kings,1,A Mhatre,2,2,DP Conway,10,8,12,10
1,Chennai Super Kings,2,Urvil Patel,0,2,A Mhatre,0,0,0,2
1,Chennai Super Kings,3,A Mhatre,41,18,R Ashwin,12,6,56,23
1,Chennai Super Kings,4,RA Jadeja,1,2,R Ashwin,1,2,2,4
1,Chennai Super Kings,5,D Brevis,8,4,RA Jadeja,0,3,8,7
1,Chennai Super Kings,6,S Dube,17,15,D Brevis,34,21,59,36
1,Chennai Super Kings,7,MS Dhoni,16,16,S Dube,22,17,43,33
1,Chennai Super Kings,8,A Kamboj,5,3,MS Dhoni,0,1,5,4
1,Chennai Super Kings,9,Noor Ahmad,2,1,A Kamboj,0,0,2,1
2,Rajasthan Royals,1,YBK Jaiswal,36,19,V Suryavanshi,1,3,37,22
2,Rajasthan Royals,2,SV Samson,41,31,V Suryavanshi,55,28,98,58
2,Rajasthan Royals,3,R Parag,2,2,V Suryavanshi,1,2,3,4
2,Rajasthan Royals,4,R Parag,1,2,Dhruv Jurel,18,8,20,10
2,Rajasthan Royals,5,SO Hetmyer,12,5,Dhruv Jurel,13,4,30,9
