innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Lucknow Super Giants,1,AK Markram,36,24,MR Marsh,51,35,91,59
1,Lucknow Super Giants,2,N Pooran,50,23,MR Marsh,66,29,121,51
1,Lucknow Super Giants,3,RR Pant,16,6,N Pooran,6,4,23,10
2,Gujarat Titans,1,B Sai Sudharsan,21,16,Shubman Gill,23,11,46,27
2,Gujarat Titans,2,JC Buttler,25,12,Shubman Gill,12,9,39,21
2,Gujarat Titans,3,JC Buttler,8,6,SE Rutherford,3,3,11,9
2,Gujarat Titans,4,M Shahrukh Khan,49,21,SE Rutherford,35,19,86,40
2,Gujarat Titans,5,R Tewatia,2,3,M Shahrukh Khan,2,2,4,5
2,Gujarat Titans,6,M Shahrukh Khan,4,3,Arshad Khan,1,3,7,6
2,Gujarat Titans,7,M Shahrukh Khan,2,3,Rashid Khan,2,2,4,5
2,Gujarat Titans,8,K Rabada,2,3,Rashid Khan,1,1,3,4
2,Gujarat Titans,9,R Sai Kishore,1,2,Rashid Khan,1,1,2,3
2,Gujarat Titans,10,R Sai Kishore,1,2,Rashid Khan,1,1,2,3
