match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
5,2025-03-25,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",74,41,5,6,180.49,c Shashank Singh b Arshdeep Singh,1
9,2025-03-29,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",63,41,4,2,153.66,lbw b TA Boult,1
14,2025-04-02,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",49,36,7,1,136.11,c JM Sharma b JR Hazlewood,1
19,2025-04-06,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5,9,0,0,55.56,c Aniket Verma b Mohammed Shami,1
23,2025-04-09,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",82,53,8,3,154.72,c SV Samson b TU Deshpande,1
26,2025-04-12,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",56,37,7,1,151.35,c N Pooran b Ravi Bishnoi,1
35,2025-04-19,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",36,21,5,1,171.43,c T Stubbs b Kuldeep Yadav,1
39,2025-04-21,Kolkata Knight Riders,"Eden Gardens, Kolkata",52,36,6,1,144.44,c Rahmanullah Gurbaz b AD Russell,1
47,2025-04-28,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",39,30,4,1,130.0,c R Parag b M Theekshana,1
51,2025-05-02,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",48,23,9,0,208.7,c H Klaasen b Zeeshan Ansari,1
56,2025-05-06,Mumbai Indians,"Wankhede Stadium, Mumbai",5,5,1,0,100.0,c RD Rickelton b TA Boult,1
60,2025-05-18,Delhi Capitals,"Arun Jaitley Stadium, Delhi",108,61,12,4,177.05,not out,1
64,2025-05-22,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",21,16,4,0,131.25,c AK Markram b W O'Rourke,1
67,2025-05-25,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",41,28,6,0,146.43,c S Dube b RA Jadeja,1
72,2025-05-30,Mumbai Indians,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",80,49,10,1,163.27,b RJ Gleeson,1
