match_number,date,opponent,catches,stumpings,run_outs
1,2025-03-22,Kolkata Knight Riders,4,0,0
8,2025-03-28,Chennai Super Kings,1,0,0
14,2025-04-02,Gujarat Titans,1,0,0
24,2025-04-10,Delhi Capitals,2,0,0
28,2025-04-13,Rajasthan Royals,0,1,0
34,2025-04-18,Punjab Kings,1,0,0
37,2025-04-20,Punjab Kings,0,0,1
42,2025-04-24,Rajasthan Royals,3,0,1
46,2025-04-27,Delhi Capitals,1,0,0
52,2025-05-03,Chennai Super Kings,1,0,0
70,2025-05-27,Lucknow Super Giants,1,0,0
71,2025-05-29,Punjab Kings,3,0,0
74,2025-06-03,Punjab Kings,1,0,0
