match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2025-03-23,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",17,18,1,0,94.44,"run out (RD Rickelton, DL Chahar)",7
8,2025-03-28,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chepauk, Chennai",25,19,2,1,131.58,c PD Salt b JR Hazlewood,7
11,2025-03-30,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",32,22,2,1,145.45,not out,6
17,2025-04-05,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",2,3,0,0,66.67,lbw b Kuldeep Yadav,6
22,2025-04-08,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",9,5,0,1,180.0,not out,6
25,2025-04-11,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",0,2,0,0,0.0,c Q de Kock b SP Narine,7
30,2025-04-14,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7,11,0,0,63.64,c AK Markram b Ravi Bishnoi,4
38,2025-04-20,Mumbai Indians,"Wankhede Stadium, Mumbai",53,35,4,2,151.43,not out,4
43,2025-04-25,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",21,17,1,1,123.53,b PHKD Mendis,4
49,2025-04-30,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",17,12,4,0,141.67,c JP Inglis b Harpreet Brar,4
52,2025-05-03,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",77,45,8,2,171.11,not out,4
57,2025-05-07,Kolkata Knight Riders,"Eden Gardens, Kolkata",19,10,2,1,190.0,b CV Varun,5
62,2025-05-20,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",1,5,0,0,20.0,c Dhruv Jurel b Yudhvir Singh,5
67,2025-05-25,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",21,18,1,1,116.67,not out,6
