match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
4,Lucknow Super Giants,J Fraser-McGurk,1,2,0,0,50.0,c A Badoni b SN Thakur
4,Lucknow Super Giants,F du Plessis,29,18,3,2,161.11,c DA Miller b Ravi Bishnoi
4,Lucknow Super Giants,Abishek Porel,0,2,0,0,0.0,c N Pooran b SN Thakur
4,Lucknow Super Giants,Sameer Rizvi,4,4,1,0,100.0,c RR Pant b M Siddharth
4,Lucknow Super Giants,AR Patel,22,11,3,1,200.0,c N Pooran b DS Rathi
4,Lucknow Super Giants,T Stubbs,34,22,1,3,154.55,b M Siddharth
4,Lucknow Super Giants,Ashutosh Sharma,66,31,5,5,212.9,not out
4,Lucknow Super Giants,V Nigam,39,15,5,2,260.0,c M Siddharth b DS Rathi
4,Lucknow Super Giants,MA Starc,2,5,0,0,40.0,c RR Pant b Ravi Bishnoi
4,Lucknow Super Giants,Kuldeep Yadav,5,5,1,0,100.0,"run out (RR Pant, Prince Yadav)"
4,Lucknow Super Giants,MM Sharma,1,2,0,0,50.0,not out
10,Sunrisers Hyderabad,J Fraser-McGurk,38,32,4,2,118.75,c & b Zeeshan Ansari
10,Sunrisers Hyderabad,F du Plessis,50,27,3,3,185.19,c PWA Mulder b Zeeshan Ansari
10,Sunrisers Hyderabad,Abishek Porel,34,18,2,2,188.89,not out
10,Sunrisers Hyderabad,KL Rahul,15,5,2,1,300.0,b Zeeshan Ansari
10,Sunrisers Hyderabad,T Stubbs,21,14,3,0,150.0,not out
17,Chennai Super Kings,J Fraser-McGurk,0,5,0,0,0.0,c R Ashwin b KK Ahmed
17,Chennai Super Kings,KL Rahul,77,51,6,3,150.98,c MS Dhoni b M Pathirana
17,Chennai Super Kings,Abishek Porel,33,20,4,1,165.0,c M Pathirana b RA Jadeja
17,Chennai Super Kings,AR Patel,21,14,2,1,150.0,b Noor Ahmad
17,Chennai Super Kings,Sameer Rizvi,20,15,1,1,133.33,c RA Jadeja b KK Ahmed
17,Chennai Super Kings,T Stubbs,24,12,2,1,200.0,not out
17,Chennai Super Kings,Ashutosh Sharma,1,1,0,0,100.0,"run out (RA Jadeja, MS Dhoni)"
17,Chennai Super Kings,V Nigam,1,2,0,0,50.0,not out
24,Royal Challengers Bengaluru,F du Plessis,2,7,0,0,28.57,c RM Patidar b Yash Dayal
24,Royal Challengers Bengaluru,J Fraser-McGurk,7,6,1,0,116.67,c JM Sharma b B Kumar
24,Royal Challengers Bengaluru,Abishek Porel,7,7,1,0,100.0,c JM Sharma b B Kumar
