innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Lucknow Super Giants,MR Marsh,35,28,2,3,125.0,c T Stubbs b Kuldeep Yadav,1
1,Lucknow Super Giants,RR Pant,7,9,1,0,77.78,run out (),2
1,Lucknow Super Giants,AK Markram,11,8,1,1,137.5,b AR Patel,3
1,Lucknow Super Giants,A Badoni,0,3,0,0,0.0,c KL Rahul b T Natarajan,4
1,Lucknow Super Giants,N Pooran,8,8,1,0,100.0,b L Ngidi,5
1,Lucknow Super Giants,Abdul Samad,36,25,3,1,144.0,c DA Miller b T Natarajan,6
1,Lucknow Super Giants,MD Choudhary,14,11,2,0,127.27,c & b Kuldeep Yadav,7
1,Lucknow Super Giants,Shahbaz Ahmed,15,16,1,0,93.75,not out,8
1,Lucknow Super Giants,Mohammed Shami,1,2,0,0,50.0,c Kuldeep Yadav b T Natarajan,9
1,Lucknow Super Giants,A Nortje,0,1,0,0,0.0,c T Stubbs b L Ngidi,10
1,Lucknow Super Giants,Mohsin Khan,0,1,0,0,0.0,c Mukesh Kumar b L Ngidi,11
2,Delhi Capitals,KL Rahul,0,1,0,0,0.0,c Mohsin Khan b Mohammed Shami,1
2,Delhi Capitals,P Nissanka,1,5,0,0,20.0,c RR Pant b Prince Yadav,2
2,Delhi Capitals,N Rana,15,17,2,1,88.24,c Abdul Samad b Mohsin Khan,3
2,Delhi Capitals,Sameer Rizvi,70,47,5,4,148.94,not out,4
2,Delhi Capitals,AR Patel,0,1,0,0,0.0,b Prince Yadav,5
2,Delhi Capitals,T Stubbs,39,32,3,1,121.88,not out,6
